horizon,b_mp_shock,se_mp_shock,ci_lo,ci_hi,nobs,response_type,shock_type
20,0.026989497849397647,0.03328900563326258,-0.027766043804082274,0.08174503950287756,79,cumulative,expansionary
21,-0.03527890311268936,0.017398255054182268,-0.06389648604118783,-0.006661320184190883,78,cumulative,expansionary
22,-0.003418427950809092,0.020939234199862336,-0.03786040327003895,0.031023547368420765,77,cumulative,expansionary
23,0.052192825081443246,0.043903716999262696,-0.02002236306144497,0.12440801322433145,76,cumulative,expansionary
24,-0.014090978374308205,0.029118575172129103,-0.06198677235784383,0.03380481560922742,75,cumulative,expansionary
0,-0.08804089877630407,0.01773165196210764,-0.117206870818018,-0.05887492673459014,99,marginal,expansionary
1,-0.014733502224381712,0.025668810605726896,-0.05695493844874199,0.02748793399997857,98,marginal,expansionary
2,0.144219376535039,0.024667589195178127,0.10364480297920133,0.18479395009087668,97,marginal,expansionary
3,-0.12259197135843633,0.01704501350235028,-0.150628523639214,-0.09455541907765866,96,marginal,expansionary
4,0.0320757251448213,0.022698119349272145,-0.005259358791806362,0.06941080908144896,95,marginal,expansionary
5,0.050349320054742804,0.01942970169602051,0.01839030474945831,0.0823083353600273,94,marginal,expansionary
6,-0.07411515860800667,0.02522020953039581,-0.11559871172655428,-0.03263160548945906,93,marginal,expansionary
7,0.016005667961445987,0.024251243371469708,-0.023884077656198793,0.055895413579090766,92,marginal,expansionary
8,0.04197107175867266,0.027927127396419123,-0.003964965029663141,0.08790710854700845,91,marginal,expansionary
9,-0.047648932536241924,0.022672649682786702,-0.08494212259957376,-0.010355742472910087,90,marginal,expansionary
10,0.03624719701384775,0.018610149413075736,0.005636225253641328,0.06685816877405418,89,marginal,expansionary
11,0.043862874431430936,0.026118590459703217,9.01616182928e-4,0.08682413267993387,88,marginal,expansionary
12,-0.0778040883320715,0.021376455199896505,-0.11296522819898691,-0.042642948465156094,87,marginal,expansionary
13,0.041345032881093084,0.022031096588407375,0.0051071037519330245,0.07758296201025314,86,marginal,expansionary
14,-3.487448107200385e-4,0.024496860737007516,-0.040642495042911946,0.03994500542147187,85,marginal,expansionary
15,-0.03319328080929975,0.022120158397156236,-0.06957770357760323,0.003191141959003732,84,marginal,expansionary
16,0.05904938157541873,0.016245199977839294,0.03232840547131781,0.08577035767951965,83,marginal,expansionary
17,-0.002797693425385057,0.015711312424819584,-0.02864050265151727,0.023045115800747154,82,marginal,expansionary
18,-0.06374252148111965,0.007344653983195873,-0.07582340222408296,-0.05166164073815635,81,marginal,expansionary
19,0.03503861682316885,0.017472558469132708,0.006298815653094262,0.06377841799324344,80,marginal,expansionary
20,0.0032964767927281505,0.03995660992089694,-0.06242629795634433,0.06901925154180064,79,marginal,expansionary
21,-0.06359583335374183,0.022862916562204873,-0.10120198458377339,-0.025989682123710278,78,marginal,expansionary
22,0.028322839071328713,0.008208379337121619,0.014821256547270702,0.04182442159538673,77,marginal,expansionary
23,0.05036821579198902,0.02940156679054518,0.002006942018504841,0.0987294895654732,76,marginal,expansionary
24,-0.07406999030302248,0.023269359831634775,-0.11234468121892582,-0.035795299387119145,75,marginal,expansionary
