horizon,term,regime,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec,panel_effect
33,mp_abs_x_wh2m,expansionary,4.833214788587103,0.949874978217605,8.716554598956602,2.360902968349092,0.015756301808010444,0.07615359091191778,0.01496651683667393,0.13734066498716166,1620,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
34,mp_abs_x_wh2m,expansionary,1.6235293400799775,-0.3184140395052182,3.5654727196651734,1.1806177448046504,0.015756301808010444,0.02558081827646015,-0.005017027706351978,0.05617866425927229,1593,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
35,mp_abs_x_wh2m,expansionary,-0.15843857086725013,-4.918301832763896,4.601424691029396,2.8937913890359055,0.015756301808010444,-0.002496405940614244,-0.07749424805991885,0.07250143617869037,1566,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
36,mp_abs_x_wh2m,expansionary,2.4666878141274227,-2.1309049496502537,7.064280577905099,2.795137931086752,0.015756301808010444,0.03886587766553324,-0.033575181510872694,0.11130693684193917,1539,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
37,mp_abs_x_wh2m,expansionary,1.8617254370702214,-0.7231681815789581,4.446619055719401,1.5715037352229042,0.015756301808010444,0.029333907870128562,-0.011394456126908164,0.07006227186716528,1512,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
38,mp_abs_x_wh2m,expansionary,-0.8081439217633289,-3.6153166867698,1.999028843243142,1.706639860842336,0.015756301808010444,-0.01273335953561219,-0.05696402084828133,0.031497301777056945,1485,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
39,mp_abs_x_wh2m,expansionary,4.684810095410392,-1.054333466525386,10.423953657346171,3.489151537801304,0.015756301808010444,0.07381528177650035,-0.016612396304859858,0.16424295985786055,1458,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
40,mp_abs_x_wh2m,expansionary,-1.2205607628972637,-4.886787340561532,2.445665814767005,2.228907495227497,0.015756301808010444,-0.01923152375522476,-0.07699769620945221,0.038534648699002694,1431,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
41,mp_abs_x_wh2m,expansionary,-1.400981533614031,-7.774398925993016,4.972435858764954,3.874762646322098,0.015756301808010444,-0.022074287871072,-0.12249577585381821,0.07834720011167422,1404,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
42,mp_abs_x_wh2m,expansionary,0.531614470906905,-3.10673777549063,4.1699667173044395,2.2119611050989145,0.015756301808010444,0.008376278049114982,-0.048950698028977356,0.06570325412720732,1377,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
43,mp_abs_x_wh2m,expansionary,-0.06737136432770054,-4.150810908540699,4.016068179885297,2.4825549686029738,0.015756301808010444,-0.0010615235495646783,-0.06540142942294928,0.06327838232381991,1350,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
44,mp_abs_x_wh2m,expansionary,-2.8680719475127465,-10.84555649353588,5.109412598510387,4.8499662312253236,0.015756301808010444,-0.04519020721209912,-0.17088586138797882,0.08050544696378055,1323,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
45,mp_abs_x_wh2m,expansionary,-0.7026819607710773,-4.798691511655056,3.393327590112902,2.490196990035773,0.015756301808010444,-0.011071669048953648,-0.07560963174117492,0.05346629364326764,1296,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
46,mp_abs_x_wh2m,expansionary,-3.821681407027116,-9.416078365121717,1.7727155510674848,3.401151851100033,0.015756301808010444,-0.060215565663181245,-0.14836257256873533,0.027931441242372842,1269,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
47,mp_abs_x_wh2m,expansionary,-0.6994240156917063,-3.960697143871985,2.5618491124885727,1.9827132790074682,0.015756301808010444,-0.011020335883009156,-0.06240593956897196,0.04036526780295365,1242,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
48,mp_abs_x_wh2m,expansionary,2.650922322511675,-2.690472027566081,7.992316672589432,3.247337187064697,0.015756301808010444,0.04176873218308595,-0.04239188927234097,0.12592935363851288,1215,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
0,mp_abs_x_ph2m,contractionary,0.48076281906945306,-5.785615932088442,6.747141570227349,3.8096877731131844,0.013484248346499642,0.006482725248095779,-0.07801468206574556,0.09098013256193713,2511,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
1,mp_abs_x_ph2m,contractionary,-1.7257168240696878,-5.151456354821038,1.7000227066816627,2.0827017520705025,0.013484248346499642,-0.023269994231488303,-0.06946351683456066,0.022923528371584057,2484,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
2,mp_abs_x_ph2m,contractionary,-2.135327098799119,-4.819457203162798,0.5488030055645599,1.631835234687949,0.013484248346499642,-0.028793280901217896,-0.06498675782277374,0.0074001960203379505,2457,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
3,mp_abs_x_ph2m,contractionary,3.208730757212157,-2.860449215998938,9.277910730423251,3.6897994288157743,0.013484248346499642,0.04326732240730057,-0.03857100761107988,0.125105652425681,2430,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
4,mp_abs_x_ph2m,contractionary,1.7378530440010416,-1.0772165407678613,4.552922628769944,1.7114407863672823,0.013484248346499642,0.023433642035030414,-0.0145254553586711,0.06139273942873193,2403,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
5,mp_abs_x_ph2m,contractionary,1.3584510823206595,-1.8240378137201925,4.540939978361512,1.934815866831381,0.013484248346499642,0.018317691760583003,-0.02459577887360933,0.061231162394775336,2376,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
6,mp_abs_x_ph2m,contractionary,-1.8787893977754466,-7.219781272858123,3.4622024773072297,3.2470924996417647,0.013484248346499642,-0.025334062830374624,-0.09735332369062623,0.04668519802987698,2349,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
7,mp_abs_x_ph2m,contractionary,0.3044328120947324,-3.523872334326043,4.132737958515508,2.3274442684094976,0.013484248346499642,0.004105047643108631,-0.04751676969741178,0.055726864983629054,2322,driscoll_kraay,cumulative,lag1_tfe_direction_dummy,twoways
