UF,ref_month_yyyymm,mean_income,n_obs,total_weight,uf_code,year,month,mean_income_sa,mean_income_trend
31,201904,2769.54980856402,6013,9829039.36959436,31,2019,4,2656.7576188403,2795.03984236797
31,201905,2759.65171698546,6100,10215542.19041,31,2019,5,2821.60555408706,2797.62206837963
31,201906,2794.26321812333,6102,9776042.41805092,31,2019,6,2822.60811609773,2800.20429439128
31,201907,2754.07807208184,6063,9888977.08808271,31,2019,7,2638.57728344192,2802.78652040294
31,201908,2754.59008931921,6013,10217813.603542,31,2019,8,2814.28524412651,2808.26174603275
31,201909,2764.83574480418,6022,9772393.47601212,31,2019,9,2798.94392597006,2813.73697166256
31,201910,2846.3324703816,5925,9769920.30170985,31,2019,10,2783.44054759514,2819.21219729236
31,201911,2777.74522552204,6093,10481650.9345368,31,2019,11,2834.21254480807,2828.39632082776
31,201912,2798.13094381058,5888,9824701.76693834,31,2019,12,2831.99798414457,2837.58044436316
31,202001,2941.2821675922,5765,9588074.66259436,31,2020,1,2843.78679721025,2846.76456789856
31,202002,2782.41222684921,5801,10118488.951523,31,2020,2,2828.1082375581,2854.40501832241
31,202003,2786.53891871269,4773,9516861.24283499,31,2020,3,2852.72572636565,2862.04546874626
31,202004,2994.23535902287,4458,8715700.62079288,31,2020,4,2888.44055504301,2869.68591917011
31,202005,2947.78877739149,4863,9379341.04123882,31,2020,5,3009.58837764206,2872.96567887772
31,202006,2965.76580256132,4789,9014804.61587314,31,2020,6,2987.00130021127,2876.24543858533
31,202007,2999.85982859752,4623,8845922.17702185,31,2020,7,2889.25552263389,2879.52519829294
31,202008,2821.81528255,4638,9412976.71791015,31,2020,8,2881.3934218103,2877.07531492839
31,202009,2889.90530051721,4876,9297678.61821804,31,2020,9,2912.06723662454,2874.62543156385
31,202010,2933.86153582533,4512,9270949.66719075,31,2020,10,2879.95773784445,2872.1755481993
31,202011,2809.84346363174,4494,9887698.04446553,31,2020,11,2873.07229736733,2862.25923658468
31,202012,2841.98962342305,4580,9684216.1190319,31,2020,12,2869.27048586227,2852.34292497005
31,202101,2896.27986278701,4344,9490812.41877835,31,2021,1,2799.36607260638,2842.42661335543
31,202102,2803.0792247639,4130,10023302.4971655,31,2021,2,2849.16658024777,2830.88096584707
31,202103,2792.99608794184,4509,9467425.7029573,31,2021,3,2857.72960168496,2819.33531833871
31,202104,2859.67508386427,4425,9842160.02900945,31,2021,4,2756.44958353413,2807.78967083035
31,202105,2720.57886203405,4484,10193646.5586719,31,2021,5,2782.51626233092,2798.28795042274
31,202106,2764.36775230882,4888,9780891.45405678,31,2021,6,2781.68308582129,2788.78623001513
31,202107,2940.1257547968,4894,10228032.8837474,31,2021,7,2833.80796630212,2779.28450960752
31,202108,2611.39049389853,4812,10486585.3456853,31,2021,8,2671.04721102681,2774.30955113616
31,202109,2719.78923722239,5189,9987599.14196213,31,2021,9,2736.28221984093,2769.3345926648
31,202110,2830.09559318115,5043,10331616.1615266,31,2021,10,2778.34403901475,2764.35963419344
31,202111,2471.8811167981,4995,10652432.919797,31,2021,11,2537.17016142354,2764.36813248093
31,202112,2753.04953236292,5242,10132363.3800917,31,2021,12,2779.27272382772,2764.37663076843
31,202201,2741.6377711761,5086,10284811.9008067,31,2022,1,2645.30991738957,2764.38512905592
31,202202,2415.56097485712,5053,10587002.9229609,31,2022,2,2462.03518319966,2768.41707763317
31,202203,2782.85015977244,5384,10287842.8942613,31,2022,3,2846.11703958031,2772.44902621042
31,202204,2784.07798074127,5345,10697420.0286371,31,2022,4,2683.41107600847,2776.48097478766
31,202205,2481.17340389143,5346,10919266.150431,31,2022,5,2543.24052815528,2784.77652279058
31,202206,2772.33413546322,5428,10242300.5260607,31,2022,6,2785.72615900265,2793.0720707935
31,202207,2847.1257527316,5430,10836859.718995,31,2022,7,2745.09626611405,2801.36761879642
31,202208,2762.30458568116,5447,10969222.0475246,31,2022,8,2822.0443948543,2816.32173027082
31,202209,2876.02405436295,5374,10209775.8134403,31,2022,9,2886.85532743822,2831.27584174522
31,202210,2832.09162160318,5283,10789137.5084887,31,2022,10,2782.50248204688,2846.22995321962
31,202211,2744.9241847164,5256,10938643.8443314,31,2022,11,2812.28653787739,2865.86996460381
31,202212,3015.49664211918,5260,9931239.23750745,31,2022,12,3040.67905624517,2885.50997598801
31,202301,2997.14296261679,5086,10468502.8257998,31,2023,1,2901.61732487404,2905.1499873722
31,202302,2877.48046083535,5170,10849133.5948139,31,2023,2,2923.94301868065,2925.22257698417
31,202303,3082.7037231967,5191,10068491.279137,31,2023,3,3144.75813075656,2945.29516659615
31,202304,3092.6840235665,5251,10896933.3705969,31,2023,4,2993.40155488881,2965.36775620812
31,202305,2793.14398571172,5211,10741901.5710584,31,2023,5,2855.52231715616,2983.70082143088
31,202306,3008.81893523416,5409,10208656.7617215,31,2023,6,3020.61007210232,3002.03388665364
31,202307,3183.36644038958,5347,10758976.1275762,31,2023,7,3082.66326887013,3020.36695187639
31,202308,2967.82160296706,5151,10334774.125823,31,2023,8,3027.83885943084,3034.44177437471
31,202309,3118.95923799727,5559,10543707.3270825,31,2023,9,3127.19353027376,3048.51659687302
31,202310,3108.54028643068,5415,10894942.5504312,31,2023,10,3059.91455143664,3062.59141937133
31,202311,2912.07114546921,5200,10382944.1855619,31,2023,11,2980.80944293951,3070.18393555806
31,202312,3111.00523315906,5585,10657930.3953526,31,2023,12,3134.95172433155,3077.77645174478
31,202401,3236.66399987282,5384,10707930.9054579,31,2024,1,3141.97304953726,3085.36896793151
31,202402,3031.35353622677,5265,10422547.2446593,31,2024,2,3077.83698911756,3089.43109864838
31,202403,3035.90097707833,5561,10617341.180036,31,2024,3,3096.7755321122,3093.49322936524
31,202404,3228.14301105334,5550,11188123.8104836,31,2024,4,3130.2773426898,3097.5553600821
31,202405,3241.05057267302,5511,10654603.126251,31,2024,5,3303.77222009411,3100.21349737585
31,202406,3030.89031090834,5663,10720616.4360925,31,2024,6,3041.11270274527,3102.87163466959
31,202407,3172.23523471266,5532,11213068.1556366,31,2024,7,3072.89055277536,3105.52977196334
31,202408,3120.21157244641,5449,10694661.6084629,31,2024,8,3180.53772733409,3108.75500367321
31,202409,3077.60975327541,5563,10703150.5844581,31,2024,9,3083.27779253557,3111.98023538308
31,202410,3182.61153778223,5358,11047915.1687599,31,2024,10,3134.97840574777,3115.20546709295
31,202411,3045.00897198561,5547,10992373.3826787,31,2024,11,3115.15088277745,3122.72987765714
31,202412,2978.72714096126,5331,10666637.4973113,31,2024,12,3001.46303030834,3130.25428822133
