t,C,Y,pi,r,w
79,3.693744759156859e-07,3.693744759156992e-07,-3.8280319484422276e-07,-2.0911154138113455e-07,-1.4592534046932954e-07
80,3.5557640056673405e-07,3.555764005667069e-07,-3.7005171410127674e-07,-2.0230281814682904e-07,-1.4210014201383922e-07
81,3.422583381026777e-07,3.422583381027047e-07,-3.57620908399392e-07,-1.956685571971208e-07,-1.385595863324492e-07
82,3.293513916717786e-07,3.2935139167178965e-07,-3.4548377451498033e-07,-1.8922016850214903e-07,-1.3545897746085143e-07
83,3.16792989018439e-07,3.1679298901843907e-07,-3.3359756615274125e-07,-1.8296010729239697e-07,-1.3293657178742274e-07
84,3.0452973087654385e-07,3.0452973087650685e-07,-3.2190542851886934e-07,-1.7688139322005024e-07,-1.3110375046923238e-07
85,2.9252058500823716e-07,2.92520585008227e-07,-3.103390287393045e-07,-1.7096741865198435e-07,-1.3003406259662372e-07
86,2.80740321283583e-07,2.807403212835599e-07,-2.988223005920397e-07,-1.651921308436339e-07,-1.2975147922315824e-07
87,2.6918303031868467e-07,2.6918303031865243e-07,-2.8727638843307253e-07,-1.5952068039359558e-07,-1.3021837409188154e-07
88,2.5786551132622504e-07,2.5786551132622435e-07,-2.7562582377900215e-07,-1.5391062966825337e-07,-1.31323937264484e-07
89,2.468302571375131e-07,2.468302571374961e-07,-2.638058972028167e-07,-1.4831380892125165e-07,-1.3287392300240125e-07
90,2.3614770973431182e-07,2.361477097342757e-07,-2.5177109742709026e-07,-1.4267889284910482e-07,-1.3458281550810865e-07
91,2.2591741198119998e-07,2.2591741198118894e-07,-2.395043799556621e-07,-1.3695474425656882e-07,-1.3606965888472256e-07
92,2.1626764669145724e-07,2.1626764669145057e-07,-2.2702690113752638e-07,-1.3109453427024086e-07,-1.368589152918928e-07
93,2.0735313811677108e-07,2.073531381167566e-07,-2.144077146563789e-07,-1.2506059846260197e-07,-1.3638777306645552e-07
94,1.9935040042575245e-07,1.9935040042574308e-07,-2.017727820364813e-07,-1.1882992602808587e-07,-1.3402129696568553e-07
95,1.9245035857077652e-07,1.9245035857075958e-07,-1.8931250560161264e-07,-1.1240010491822811e-07,-1.2907668462758074e-07
96,1.8684794688715914e-07,1.868479468871701e-07,-1.7728686132454913e-07,-1.0579546276643589e-07,-1.2085762708589296e-07
97,1.8272851347334864e-07,1.8272851347331659e-07,-1.660271041090389e-07,-9.907305235387178e-08,-1.086993693360121e-07
