uf_code,year,quarter,share_PH2M,share_WH2M,share_Ricardian,share_H2M,total_weight,n_obs,n_unmatched
22,2021,4,0.22256557120358628,0.25766716719451666,0.5197672616018971,0.48023273839810293,8170473.836803436,8323,3402
23,2021,4,0.216780357695873,0.25107159257574546,0.5321480497283816,0.46785195027161847,20798012.332955923,16905,7088
24,2021,4,0.21188047702833546,0.25430489456515476,0.5338146284065098,0.4661853715934902,8040132.493292166,7220,2964
25,2021,4,0.2116049483212163,0.2547100861025494,0.5336849655762345,0.4663150344237657,9683703.078857888,9667,4187
26,2021,4,0.21190311411977727,0.24832283044732176,0.5397740554329009,0.46022594456709903,20375369.05024317,13215,5441
27,2021,4,0.21176531978195515,0.25826844752795436,0.5299662326900905,0.47003376730990953,7026290.6754896585,13515,5981
28,2021,4,0.22219441794512518,0.25973493431655287,0.5180706477383219,0.48192935226167805,5501443.474856624,6512,2494
29,2021,4,0.2098929418885998,0.24869569550514387,0.5414113626062563,0.45858863739374367,33773552.83533994,16603,6035
31,2021,4,0.1885687418432677,0.264785561729324,0.5466456964274085,0.45335430357259165,53510242.473225,28447,9827
32,2021,4,0.1839655751185967,0.2604857201894053,0.5555487046919981,0.444451295308002,9844235.492649516,12363,4371
33,2021,4,0.17618768575027283,0.22624322428373883,0.5975690899659882,0.40243091003401166,41609183.15441829,24712,8714
35,2021,4,0.18725137410444742,0.2427772125815171,0.5699714133140354,0.43002858668596455,109317448.64245541,27551,9176
41,2021,4,0.18352812216568173,0.27968014439033095,0.5367917334439872,0.46320826655601266,27970718.696773045,20371,8974
42,2021,4,0.1854378011564301,0.2785483731234149,0.536013825720155,0.463986174279845,17741085.455221895,21628,9691
43,2021,4,0.17834964866954686,0.26109524925715344,0.5605551020732997,0.4394448979267003,28108085.396165423,19181,8267
50,2021,4,0.20774248178230115,0.23298554128771176,0.5592719769299872,0.4407280230700129,6634990.809498397,7777,2923
51,2021,4,0.20970907143185877,0.23483515503255517,0.555455773535586,0.44454422646441394,8334500.4775910545,8749,3310
52,2021,4,0.20742740814184368,0.2331306428008004,0.5594419490573559,0.4405580509426441,17674336.284518078,12916,4891
53,2021,4,0.19621052019975666,0.2061407368278472,0.5976487429723961,0.4023512570276039,7141570.982876042,6017,2375
11,2022,1,0.24413701669957397,0.24815894320238813,0.5077040400980379,0.49229595990196207,4070785.975277588,5895,2639
12,2022,1,0.22310877794967646,0.2437597385091692,0.5331314835411544,0.46686851645884564,1919992.8200655803,6957,3432
13,2022,1,0.22972196771541836,0.2738619365511246,0.4964160957334571,0.503583904266543,9304720.85944414,10671,4918
14,2022,1,0.23336105488948253,0.26909389578717996,0.49754504932333754,0.5024549506766625,1320384.5815570117,4046,1880
15,2022,1,0.22753152685218614,0.2759110657806803,0.49655740736713355,0.5034425926328665,20078207.595172785,13211,5633
16,2022,1,0.2281756362138008,0.2597415590252967,0.5120828047609025,0.4879171952390975,1765333.6211688519,2953,1367
17,2022,1,0.22657652317152308,0.2625873426764316,0.5108361341520453,0.4891638658479547,3381187.0438075387,4970,2019
21,2022,1,0.21701849622586247,0.2555627269121217,0.5274187768620159,0.4725812231379841,15835118.813358136,22621,10794
22,2022,1,0.21989890849307728,0.2566864682374429,0.5234146232694799,0.47658537673052015,8164826.265924282,8937,3665
23,2022,1,0.21376983572619485,0.24956431526330156,0.5366658490105036,0.4633341509894964,21268111.672169257,17744,7713
24,2022,1,0.20806876550607578,0.2452620278253968,0.5466692066685275,0.4533307933314726,8036676.036469372,7537,3090
25,2022,1,0.21467545623486486,0.2425385304235799,0.5427860133415553,0.45721398665844476,9740238.566844491,9977,4210
26,2022,1,0.2140654678165244,0.23787269903246727,0.5480618331510083,0.4519381668489917,20426380.0882828,13489,5487
27,2022,1,0.2171455544289362,0.2433669376120908,0.539487507958973,0.460512492041027,7109605.042074978,14064,6456
28,2022,1,0.21879032898167783,0.26371046171196216,0.51749920930636,0.48250079069364,5574969.053645804,6913,2690
29,2022,1,0.21240086744878633,0.24221733824660738,0.5453817943046063,0.4546182056953937,33418426.910553493,17024,6386
31,2022,1,0.18730317857519752,0.26318581380139283,0.5495110076234097,0.45048899237659035,53129623.7790278,28727,9904
32,2022,1,0.18697828437440409,0.2563859906679799,0.556635724957616,0.44336427504238396,9807457.856018385,13123,4681
33,2022,1,0.17727018637200992,0.21624569534989385,0.6064841182780965,0.39351588172190377,41709351.733095855,25385,9187
35,2022,1,0.1847371232233767,0.23765928005210493,0.5776035967245183,0.42239640327548167,109806337.79593964,28756,9560
41,2022,1,0.18300085587300788,0.27682204394045207,0.5401771001865401,0.4598228998134599,27794160.567570448,20448,9038
42,2022,1,0.18939115864974296,0.2731106248958117,0.5374982164544453,0.4625017835455547,18171517.47858934,22661,10185
43,2022,1,0.17805648740215912,0.260256616755887,0.5616868958419537,0.43831310415804614,28064990.527800553,20123,8538
50,2022,1,0.20727136415935088,0.22667390812219412,0.5660547277184551,0.433945272281545,6551537.959099056,8025,3106
51,2022,1,0.21306755477067865,0.22367123887084514,0.5632612063584763,0.4367387936415238,8368241.320677355,8976,3516
52,2022,1,0.20959474768118222,0.23155691585302762,0.5588483364657901,0.44115166353420987,17724644.557464693,13038,4864
53,2022,1,0.19579049125258333,0.20264644604603055,0.6015630627013862,0.39843693729861385,7204689.566514133,6714,2614
11,2022,2,0.2499145445910599,0.24410810839528513,0.5059773470136552,0.49402265298634507,4102997.5299196197,6128,2630
12,2022,2,0.2319699352696096,0.24458098498779793,0.5234490797425925,0.47655092025740753,1937305.646092907,7146,3563
13,2022,2,0.23191444251825388,0.27739044464913376,0.4906951128326125,0.5093048871673876,9251216.373561163,10753,5011
14,2022,2,0.245327808231127,0.270445123596178,0.484227068172695,0.515772931827305,1334683.879237277,4044,1856
15,2022,2,0.23398845287910736,0.28639419823156337,0.47961734888932933,0.5203826511106707,19861728.142274752,13488,5815
16,2022,2,0.23522233307346482,0.2794961304333335,0.48528153649320155,0.5147184635067983,1746017.8659704574,3022,1288
17,2022,2,0.23492862832889952,0.2694625005794033,0.4956088710916972,0.5043911289083028,3491125.2334819874,5219,2132
21,2022,2,0.22523587859199776,0.25863349369750194,0.5161306277105003,0.48386937228949967,15748629.109159408,23135,10640
22,2022,2,0.22145922432833967,0.25841820387007275,0.5201225718015877,0.4798774281984124,8164640.008946886,8989,3809
23,2022,2,0.21563449852234273,0.24948844289857405,0.5348770585790832,0.4651229414209168,21596148.055046946,18260,7777
24,2022,2,0.21022435762878824,0.24568547064371854,0.5440901717274932,0.4559098282725068,8239677.170717787,7657,3023
25,2022,2,0.21804402033603298,0.24247493128226213,0.5394810483817047,0.46051895161829515,9740560.1007899,10219,4257
26,2022,2,0.2184157934665458,0.24627110762563906,0.5353130989078152,0.46468690109218486,21099177.628093135,14063,5781
27,2022,2,0.2215540051056658,0.24521732603044497,0.5332286688638891,0.4667713311361108,7091119.69045108,14186,6481
28,2022,2,0.22264631413339722,0.2571319297737999,0.5202217560928029,0.47977824390719714,5453576.691494855,6933,2743
29,2022,2,0.21582668218926068,0.24658529850327218,0.5375880193074671,0.46241198069253286,33515644.265524473,17076,6319
31,2022,2,0.18956101900398312,0.27112159786663825,0.5393173831293785,0.4606826168706214,52984389.96215846,28956,9921
32,2022,2,0.19196484291091845,0.2582354083507439,0.5497997487383377,0.4502002512616623,9803064.934873497,13366,4603
33,2022,2,0.18072471466729045,0.2205817466982871,0.5986935386344225,0.40130646136557757,41976789.51437351,26136,9548
35,2022,2,0.18667911922351016,0.24320682443466587,0.570114056341824,0.429885943658176,109556748.6427471,29033,9437
41,2022,2,0.18265756497739188,0.27757674373032554,0.5397656912922826,0.4602343087077174,27727571.487897124,20391,8963
42,2022,2,0.18749778752703747,0.28031977880006687,0.5321824336728956,0.46781756632710436,18392049.860286992,23339,10254
43,2022,2,0.18174292652475935,0.25887109175311107,0.5593859817221296,0.4406140182778704,28061932.2075207,20617,8695
50,2022,2,0.20551000238183736,0.23350165912406096,0.5609883384941017,0.4390116615058983,6569273.019432357,8222,3027
51,2022,2,0.2143038579196986,0.22777630003036262,0.5579198420499389,0.4420801579500612,8524917.544951595,9367,3453
52,2022,2,0.21539423803124516,0.23978374955655227,0.5448220124122027,0.45517798758779743,17570140.19052901,13279,4747
53,2022,2,0.19833434604710645,0.20173641249201305,0.5999292414608807,0.4000707585391195,7231630.090811926,6964,2674
11,2022,3,0.2512478884291573,0.24497291749527206,0.5037791940755708,0.49622080592442935,4117540.4575755936,6340,2803
12,2022,3,0.23251102767118859,0.23956189745646755,0.5279270748723439,0.47207292512765614,1926087.1308916644,7166,3606
13,2022,3,0.23758382263008263,0.2780387222024841,0.4843774551674332,0.5156225448325668,9262514.633559339,10983,5140
14,2022,3,0.24542939833961874,0.2813868941256827,0.47318370753469857,0.5268162924653015,1348399.7289425165,4307,1897
15,2022,3,0.23568205978052545,0.2849545498006219,0.47936339041885273,0.5206366095811473,19943209.8294533,13426,5796
16,2022,3,0.23376833053889495,0.2739000117973158,0.4923316576637893,0.5076683423362107,1787432.9150171028,3229,1401
17,2022,3,0.232884002202101,0.26541827004355756,0.5016977277543414,0.4983022722456586,3516581.5315167177,5343,2153
21,2022,3,0.22743084409739486,0.2599882554153437,0.5125809004872615,0.48741909951273854,15722693.469956025,23699,10573
22,2022,3,0.22143966446917862,0.25693528848816843,0.521625047042653,0.47837495295734705,8147983.699918445,8984,3785
23,2022,3,0.21655862733057474,0.2559512313437016,0.5274901413257237,0.47250985867427636,21694542.37383277,18442,7807
24,2022,3,0.2127697108768946,0.2485443097353438,0.5386859793877616,0.4613140206122384,8353660.703268822,7876,3165
25,2022,3,0.21857176858094082,0.25023410755879877,0.5311941238602603,0.46880587613973956,9787796.287060477,10227,4182
26,2022,3,0.2175451437603206,0.24115377208334124,0.5413010841563382,0.45869891584366185,21390476.910250083,14437,5843
27,2022,3,0.22323053539208515,0.24955906866987382,0.5272103959380411,0.47278960406195897,7116586.685731474,14503,6465
28,2022,3,0.22487607524082193,0.2532566246740602,0.521867300085118,0.4781326999148821,5462853.05181498,7066,2830
29,2022,3,0.2151815811621422,0.2405011117932451,0.5443173070446127,0.4556826929553873,33867285.913187504,17263,6544
31,2022,3,0.19074485936990276,0.2704289454805196,0.5388261951495776,0.46117380485042236,52722982.99645898,28764,9781
32,2022,3,0.18935165004711763,0.25783504100555427,0.5528133089473282,0.4471866910526719,9803822.220969398,13524,4714
33,2022,3,0.1795660015090566,0.22141789568697323,0.5990161028039701,0.40098389719602984,41533225.99329281,26415,9558
35,2022,3,0.1890429377620537,0.2391982317434477,0.5717588304944986,0.4282411695055014,109575522.73299086,29547,9663
41,2022,3,0.18599330123812105,0.2740436187710662,0.5399630799908128,0.4600369200091873,28070809.366066605,20471,8982
42,2022,3,0.1912840053445406,0.2714482266359204,0.537267768019539,0.462732231980461,18544057.15131896,24015,10433
43,2022,3,0.1841286223823916,0.25554415652000917,0.5603272210975994,0.43967277890240075,28141276.35088834,20996,8812
50,2022,3,0.20451386831536883,0.22266523450990452,0.5728208971747266,0.4271791028252734,6529725.546715107,8046,2904
51,2022,3,0.2176113513254264,0.2225079714246783,0.5598806772498953,0.4401193227501047,8484317.456800407,9421,3503
52,2022,3,0.21275659068689126,0.2357807221528142,0.5514626871602946,0.44853731283970544,17717392.128059056,13139,4566
53,2022,3,0.20042473755986853,0.20014412292658504,0.5994311395135467,0.40056886048645357,7289136.692413587,7366,2804
11,2022,4,0.24800602936936383,0.2388110262534844,0.5131829443771517,0.48681705562284827,4123686.90307812,6225,2924
12,2022,4,0.23420295945984984,0.23896281342155568,0.5268342271185945,0.4731657728814055,1931187.0723543589,7003,3586
13,2022,4,0.23758365498526676,0.2734339706316794,0.48898237438305386,0.5110176256169462,9349018.410343504,10686,4991
14,2022,4,0.24330658182130435,0.27979394710835875,0.476899471070337,0.5231005289296631,1379353.219590992,4268,1913
15,2022,4,0.24133560939491486,0.2836902855784235,0.4749741050266617,0.5250258949733384,20148939.705058258,13535,5864
16,2022,4,0.22855303901268306,0.2688290082118345,0.5026179527754825,0.4973820472245175,1779757.646690853,3248,1383
17,2022,4,0.23925071920003266,0.2671260372498049,0.49362324355016235,0.5063767564498376,3477052.345476431,5304,2093
21,2022,4,0.22877008459778186,0.2588864730187247,0.5123434423834935,0.48765655761650656,15841838.117115509,23505,10733
