bin_key,p_ph2m,p_wh2m,p_ric,weighted_n,raw_n,small_bin_flag
Central_West|35-44|male|primary|Q3|informal,0.13584987569281615,0.2879561531219882,0.5761939711851957,52253.83320143,98,0
Central_West|35-44|male|primary|Q3|self_employed,0.23239677920636892,0.08420488342574992,0.6833983373678812,3259.10307412,3,0
Central_West|35-44|male|primary|Q3|unemployed,0.9996532295826864,0.0001141875233671496,0.00023258289394639274,205.52620528,1,0
Central_West|35-44|male|primary|Q4|formal,4.9593244014383255e-05,4.05802473230227e-05,0.9999098265086624,578.50532326,2,0
Central_West|35-44|male|primary|Q4|informal,0.022756127050129346,0.1367340637132136,0.8405098092366571,76194.72755591,124,0
Central_West|35-44|male|primary|Q4|self_employed,1.1958263888853721e-05,0.9999681111797816,1.9930556329645936e-05,2399.48870712,3,0
Central_West|35-44|male|primary|Q4|unemployed,3.462981749571655e-05,2.833624996017096e-05,0.9999370339325441,828.51871819,1,0
Central_West|35-44|male|primary|Q5|formal,1.3499281857564536e-05,1.1045944006088521e-05,0.9999754547741365,2125.56233428,3,0
Central_West|35-44|male|primary|Q5|informal,0.02386790842374311,0.0966124752675862,0.8795196163086707,53606.21890988,99,0
Central_West|35-44|male|primary|Q5|unemployed,4.218490646018901e-05,3.451828916367243e-05,0.9999232968043761,680.11757999,1,0
Central_West|35-44|male|secondary|Q1|formal,8.16211505699344e-05,6.678745346759314e-05,0.9998515913959625,351.46224562,1,0
Central_West|35-44|male|secondary|Q1|informal,0.45986526171727976,0.5225426764913883,0.017592061791331878,16421.692688350002,28,0
Central_West|35-44|male|secondary|Q1|unemployed,5.486194105491278e-05,0.999853700955975,9.14371029700923e-05,522.93863904,1,0
Central_West|35-44|male|secondary|Q2|formal,0.9999546596419445,1.4930060167920945e-05,3.041029788765705e-05,1572.56259186,1,0
Central_West|35-44|male|secondary|Q2|informal,0.1604796254413944,0.5345679835414506,0.30495239101715504,42792.53895617,50,0
Central_West|35-44|male|secondary|Q2|unemployed,0.9605055297864484,0.03944554661195582,4.89236015957704e-05,977.44736641,2,0
