ref_month_yyyymm,mean_income,n_obs,total_weight,year,month,date,mean_income_sa,mean_income_trend
202302,3210.34328483372,60340,94568857.4184264,2023,2,2023-02-01,3201.46734163339,3173.25067577829
202303,3172.54166169184,63464,94176670.8989364,2023,3,2023-03-01,3136.41411252715,3184.17320847192
202304,3155.52713275052,63068,95199690.6451383,2023,4,2023-04-01,3196.55244893869,3195.09574116555
202305,3187.16548541573,62030,95728512.3335686,2023,5,2023-05-01,3191.48809034023,3205.23278940306
202306,3206.81632470283,65062,95293090.5410305,2023,6,2023-06-01,3196.6134545341,3215.36983764058
202307,3187.94012041941,65658,96667516.0053107,2023,7,2023-07-01,3248.47898133371,3225.50688587809
202308,3222.48997565374,63618,96249790.1233197,2023,8,2023-08-01,3227.27279343374,3238.1725579848
202309,3306.88268008209,65952,96271578.036179,2023,9,2023-09-01,3268.63161721129,3250.83823009151
202310,3211.67484052224,65081,97363051.8343267,2023,10,2023-10-01,3249.26399188403,3263.50390219822
202311,3286.97675912563,64127,97282147.5672917,2023,11,2023-11-01,3259.00125651352,3277.66289494932
202312,3287.26289619397,65119,97899931.4617373,2023,12,2023-12-01,3253.36093323373,3291.82188770041
202401,3345.02034660688,65678,96321353.0251389,2024,1,2024-01-01,3351.30285862937,3305.98088045151
202402,3329.58158169577,64681,96134852.4351956,2024,2,2024-02-01,3319.6667742187,3319.98196433257
202403,3280.58762450035,66939,97967316.4891679,2024,3,2024-03-01,3247.6873530994,3333.98304821363
202404,3378.38154714486,67754,98449275.9412299,2024,4,2024-04-01,3418.85745848987,3347.98413209469
202405,3380.88816357876,66228,97694575.0325092,2024,5,2024-05-01,3382.94841948025,3361.06573459054
202406,3348.775739252,66963,99059813.3154896,2024,6,2024-06-01,3341.2578807921,3374.1473370864
202407,3339.90896033843,68422,99011681.2985937,2024,7,2024-07-01,3400.28226448369,3387.22893958225
202408,3419.1896630609,66569,98889007.9357805,2024,8,2024-08-01,3422.43252270004,3398.29897946865
202409,3320.19996142474,68057,100653826.563708,2024,9,2024-09-01,3282.86945851277,3409.36901935505
202410,3388.32092428361,68411,100629246.050882,2024,10,2024-10-01,3425.85564516721,3420.43905924145
202411,3466.45174013343,66080,100059222.300835,2024,11,2024-11-01,3436.72960102719,3430.99715703745
202412,3367.57976342757,64534,100164806.563883,2024,12,2024-12-01,3335.04899288126,3441.55525483344
202501,3427.4803355438,66732,98182509.1642329,2025,1,2025-01-01,3433.06454122183,3452.11335262944
202502,3545.87695304538,64249,98945079.7920981,2025,2,2025-02-01,3535.20614524222,3463.60207833314
202503,3413.05164158256,66160,100065551.111059,2025,3,2025-03-01,3382.76821422724,3475.09080403684
202504,3422.1996960314,68239,100347487.440376,2025,4,2025-04-01,3462.16958571812,3486.57952974054
202505,3580.65735224612,64821,100791633.513268,2025,5,2025-05-01,3581.09546595631,3499.22840401237
202506,3495.78236780185,67000,101173053.640923,2025,6,2025-06-01,3490.25779095151,3511.8772782842
202507,3436.94154126018,70356,100420035.284023,2025,7,2025-07-01,3497.05623776275,3524.52615255603
202508,3584.64816006353,64184,100830551.480295,2025,8,2025-08-01,3586.76322096663,3537.48695242661
202509,3567.96644559708,68082,101622927.610566,2025,9,2025-09-01,3531.13482362882,3550.44775229719
202510,3474.85686971758,70098,100977407.291322,2025,10,2025-10-01,3512.3937971544,3563.40855216778
202511,3628.5959898328,59668,101853459.806013,2025,11,2025-11-01,3597.67650238588,3576.61277078271
202512,3648.66914599677,63499,101523353.273675,2025,12,2025-12-01,3617.18025994263,3589.81698939765
