t,C_PH2M,C_WH2M,C_RIC,C_total,Y,pi,r,C_PH2M_pct,C_WH2M_pct,C_RIC_pct
38,0.0005378496955054473,0.00020775739558665787,-0.0007456758789143119,-6.878782220429689e-08,-6.878782220433208e-08,-2.43147394364831e-06,-1.3413805952497064e-06,0.2674652042377942,0.0880024062971717,-0.13248757012400583
39,0.0005169154452635664,0.00020528089502693577,-0.0007222538691699738,-5.752887947236499e-08,-5.752887947244503e-08,-2.3416249030758975e-06,-1.2906295175950102e-06,0.25705489153649597,0.0869534038882012,-0.1283260768449605
40,0.0004971077691603562,0.0002025350268657117,-0.0006996902096437002,-4.7413617631797975e-08,-4.74136176318815e-08,-2.2564651419895547e-06,-1.2424160277140195e-06,0.24720480855105798,0.08579030206513412,-0.1243170904900661
41,0.0004783451670716122,0.00019956726420359422,-0.0006779507280170009,-3.829674179335737e-08,-3.829674179335987e-08,-2.175628344056805e-06,-1.196599525767016e-06,0.23787442639850814,0.08453320960472975,-0.12045453951058373
42,0.00046055373819212054,0.0001964185713230883,-0.0006570023678521119,-3.005833690275712e-08,-3.0058336902803534e-08,-2.0987935879693825e-06,-1.1530407691678192e-06,0.2290269952319561,0.0831994782620122,-0.11673255062129637
43,0.00044366627383677954,0.00019312435628560218,-0.0006368132278033256,-2.2597680941462356e-08,-2.2597680941483595e-08,-2.0256772125100547e-06,-1.1116048496757576e-06,0.22062909310315587,0.08180410627373472,-0.1131454557673614
44,0.00042762148733505164,0.00018971526885898002,-0.0006173525850528723,-1.582885883835445e-08,-1.5828858838417633e-08,-1.9560267036800277e-06,-1.0721630279726563e-06,0.21265024299968308,0.08036007634655437,-0.10968779628826862
45,0.00041236335548648683,0.0001862178717976096,-0.0005985909049621629,-9.67767806175782e-09,-9.677678061815137e-09,-1.8896160108152052e-06,-1.0345937971349616e-06,0.20506258535988758,0.07887863999956822,-0.10635432463261962
46,0.0003978405517614861,0.00018265520738240627,-0.0005804998386771541,-4.079533258812473e-09,-4.079533258872482e-09,-1.8262418637488245e-06,-9.987834258941807e-07,0.19784059621148362,0.07736955754076148,-0.1031400039326623
47,0.00038400595573178666,0.0001790472766820372,-0.0005630522103796443,1.0220341839685268e-09,1.0220341839134238e-09,-1.765720778179146e-06,-9.64626151470454e-07,0.19096084321812443,0.07584130107369634,-0.10004000573917164
48,0.00037081622643741195,0.00017541144571100553,-0.0005462219958789847,5.67626943488535e-09,5.676269434872085e-09,-1.7078865207910947e-06,-9.3202413041575e-07,0.18440177352069548,0.0743012265389869,-0.0970497062177432
49,0.00035823142983385653,0.00017176279016302832,-0.000529984294221358,9.925775531274003e-09,9.925775531233697e-09,-1.6525878667059722e-06,-9.00887216726597e-07,0.17814352847195963,0.0727557197373405,-0.09416468110448657
50,0.00034621471227777784,0.00016811438847961807,-0.0005143152939167768,1.3806840623651739e-08,1.3806840623643406e-08,-1.5996865301413437e-06,-8.711326063725278e-07,0.17216778126551371,0.07121032046829338,-0.09138069970542508
51,0.0003347320133856345,0.00016447757149000994,-0.0004991922352530712,1.7349622574635236e-08,1.7349622574624536e-08,-1.549055187741643e-06,-8.426843699055981e-07,0.1664575941443664,0.06966982827332621,-0.08869371820065337
52,0.0003237518126539261,0.00016086213562007323,-0.0004845933699918819,2.0578282117846057e-08,2.0578282117865324e-08,-1.500575547739002e-06,-8.154728829965217e-07,0.16099729239869284,0.06813839274743744,-0.08609987248334408
53,0.0003132449050756436,0.00015727652562025894,-0.0004704979195467472,2.351114915601115e-08,2.3511149155995797e-08,-1.4541364482241483e-06,-7.894341599464615e-07,0.15577235278300336,0.06661959093951217,-0.08359547072906146
54,0.0003031842016916965,0.00015372799185350773,-0.0004568860325445557,2.6161000649013418e-08,2.6161000648963708e-08,-1.409631996346347e-06,-7.645090941704033e-07,0.15076930433313018,0.06511649397673465,-0.08117698585551478
55,0.0002935445516360621,0.00015022272637091306,-0.00044373874248565103,2.853552132495087e-08,2.8535521324913978e-08,-1.3669597863063568e-06,-7.406426139952135e-07,0.14597563987174536,0.06363172470386379,-0.07884104799983964
56,0.00028430258278291454,0.00014676598127724813,-0.00043103792605170754,3.06380084550659e-08,3.063800845501712e-08,-1.326019258053493e-06,-7.177827684152819e-07,0.14137973676438473,0.06216750782080428,-0.07658443711097168
57,0.0002754365585895338,0.00014336217224641197,-0.0004187662624684811,3.246836746518904e-08,3.2468367465159225e-08,-1.2867102797448213e-06,-6.958797662463493e-07,0.1369707857294096,0.060725713729942746,-0.07440407572944474
58,0.0002669262491571618,0.00014001496948515746,-0.00040690719421607397,3.402442624631072e-08,3.402442624629204e-08,-1.2489320525446462e-06,-6.748850040266211e-07,0.13273872671835613,0.05930789706679503,-0.07229702200660773
59,0.00025875281487455835,0.00013672737798200605,-0.000395444889285293,3.530357127104868e-08,3.530357127097683e-08,-1.2125824467655508e-06,-6.547501278693219e-07,0.12867419105348732,0.057915330692045776,-0.07026046299854292
60,0.00025089870128631206,0.00013350180850122935,-0.0003843642051082601,3.6304679281557676e-08,3.630467928154044e-08,-1.177557879349467e-06,-6.354261870383237e-07,0.12476844914726018,0.05654903576335975,-0.06829170825745615
61,0.00024334754401309703,0.0001303401405054795,-0.00037365065423470255,3.703028387414952e-08,3.703028387414229e-08,-1.1437538350108495e-06,-6.168629447836447e-07,0.12101336322048623,0.055209808388309745,-0.06638818373322962
62,0.00023608408267427813,0.00012724377799044992,-0.0003632903717853933,3.748887933438072e-08,3.7488879334362785e-08,-1.111066112910533e-06,-5.990084200029325e-07,0.11740134449723523,0.05389824327496433,-0.06454742599072914
63,0.00022909408280864275,0.00012421369909787754,-0.00035327008468124524,3.76972252744091e-08,3.769722527433154e-08,-1.0793928490699952e-06,-5.818087337236751e-07,0.11392531437709662,0.052614754747089446,-0.06276707674259953
64,0.00022236426479469557,0.00012125050030890134,-0.00034357708262496185,3.768247863273006e-08,3.768247863275035e-08,-1.0486373187053725e-06,-5.65208332677348e-07,0.11057866908822643,0.051359595463683815,-0.06104487769344462
65,0.00021588223873236865,0.00011835443600807468,-0.0003341991907938155,3.748394662512393e-08,3.748394662511905e-08,-1.01871146504445e-06,-5.491506507482648e-07,0.10735524730492374,0.05013287317760386,-0.05937866568803104
66,0.000209636444200969,0.00011552545421976586,-0.0003251247441908632,3.715422986962514e-08,3.715422986961838e-08,-9.895400312520298e-07,-5.335792527002998e-07,0.1042493001900923,0.048934565872879254,-0.05776636815415394
67,0.00020361609375229867,0.00011276322935138813,-0.00031634256359135485,3.675951233065699e-08,3.675951233063756e-08,-9.610650946937448e-07,-5.184394772901715e-07,0.10125546329515184,0.04776453563417357,-0.05620599882892764
