uf_code,year,month,ref_month_yyyymm,share_PH2M,share_WH2M,share_Ricardian,share_H2M,total_weight,n_obs,n_unmatched
24,2012,4,201204,0.229958184598241,0.260593579596175,0.509448235805585,0.490551764194415,2557325.54247495,3298,1308
25,2012,4,201204,0.23837089367794,0.282871044380557,0.478758061941502,0.521241938058498,2950733.29536672,3884,1571
26,2012,4,201204,0.235827233769063,0.254265860808334,0.509906905422603,0.490093094577397,6805397.26227941,5397,2357
27,2012,4,201204,0.228065181139544,0.251486786864443,0.520448031996013,0.479551968003988,2320250.31832052,5472,2613
28,2012,4,201204,0.233850895305809,0.281273875935804,0.484875228758388,0.515124771241612,1617124.555143,2974,1150
29,2012,4,201204,0.237149914307598,0.267395132018431,0.495454953673971,0.50454504632603,10505284.768269,7187,2705
31,2012,4,201204,0.193412627064232,0.283277295648579,0.523310077287189,0.476689922712811,15687713.5154061,10607,3950
32,2012,4,201204,0.208063352223127,0.28279297817623,0.509143669600643,0.490856330399358,2828862.97011681,5398,1987
33,2012,4,201204,0.184779558270824,0.253904490477404,0.561315951251772,0.438684048748228,12577526.7145068,9817,3694
35,2012,4,201204,0.194554000578131,0.255445775420721,0.550000224001148,0.449999775998852,33433675.212835,11595,3999
41,2012,4,201204,0.185013189759109,0.280120835666723,0.534865974574169,0.465134025425832,8346393.65336978,7322,3394
42,2012,4,201204,0.19306613966155,0.295603153381501,0.511330706956949,0.488669293043051,5045547.00347693,8297,3820
43,2012,4,201204,0.191422590004777,0.289873234813865,0.518704175181358,0.481295824818642,8895067.99542138,8184,3718
50,2012,4,201204,0.204870721175325,0.248906506024804,0.546222772799871,0.453777227200129,1946987.82991923,3096,1135
51,2012,4,201204,0.218760199695094,0.247651418426871,0.533588381878035,0.466411618121965,2399264.68679829,3558,1430
52,2012,4,201204,0.222403749314254,0.241278259343161,0.536317991342586,0.463682008657414,4850059.75534644,4663,1747
53,2012,4,201204,0.220770440151668,0.205674180659489,0.573555379188843,0.426444620811157,2060539.76396047,2298,973
11,2012,5,201205,0.253997530571433,0.278068591236715,0.467933878191853,0.532066121808148,1145970.37328568,2384,998
12,2012,5,201205,0.264895787901183,0.267355341594285,0.467748870504533,0.532251129495467,491787.605334621,2461,1133
13,2012,5,201205,0.232072851032302,0.291151304446862,0.476775844520836,0.523224155479164,2343379.608158,3557,1688
14,2012,5,201205,0.24900359465527,0.297330432025063,0.453665973319667,0.546334026680333,305502.954418568,1369,627
15,2012,5,201205,0.232951517990464,0.311933602097422,0.455114879912114,0.544885120087886,5393557.06679052,4879,2041
16,2012,5,201205,0.257863375821905,0.274606769671271,0.467529854506825,0.532470145493176,434822.000457186,1184,457
17,2012,5,201205,0.218870035855849,0.301246858304636,0.479883105839516,0.520116894160484,1001610.2282357,1827,753
21,2012,5,201205,0.25180603779899,0.264600570306049,0.483593391894962,0.516406608105038,4503502.37072763,7984,3636
22,2012,5,201205,0.24120692445846,0.284016144418545,0.474776931122995,0.525223068877005,2405468.26717355,3351,1355
23,2012,5,201205,0.242230572394404,0.262523041651685,0.49524638595391,0.50475361404609,6324492.22462496,7330,3128
24,2012,5,201205,0.216493521168981,0.264764645725726,0.518741833105293,0.481258166894707,2526248.11054579,2981,1198
25,2012,5,201205,0.239987485199802,0.263978363716606,0.496034151083593,0.503965848916407,2986235.59313669,3811,1504
26,2012,5,201205,0.225440286256036,0.260135346414427,0.514424367329536,0.485575632670464,6744283.99584046,5222,2377
27,2012,5,201205,0.226349027360947,0.257281976290732,0.516368996348321,0.483631003651679,2279453.88731754,5173,2555
28,2012,5,201205,0.23066124242439,0.262804300424943,0.506534457150667,0.493465542849333,1555995.53019802,2809,1095
29,2012,5,201205,0.244798940697796,0.268255001609203,0.486946057693001,0.513053942306999,10715579.3999249,7032,2581
31,2012,5,201205,0.195094246153766,0.285638011459742,0.519267742386493,0.480732257613507,15421339.2518993,10621,3711
32,2012,5,201205,0.199919493894317,0.27183559344036,0.528244912665324,0.471755087334676,2830939.56278352,4985,1849
33,2012,5,201205,0.197603115844515,0.26312730415569,0.539269579999795,0.460730420000205,13018972.7714323,10028,3691
35,2012,5,201205,0.18761453704546,0.266533035020342,0.545852427934198,0.454147572065802,34099873.9799026,11654,4077
41,2012,5,201205,0.184129354115067,0.291420354198516,0.524450291686417,0.475549708313583,8414388.51540135,7551,3549
42,2012,5,201205,0.18603649079502,0.308160931672387,0.505802577532593,0.494197422467407,5109116.71274078,8930,4038
43,2012,5,201205,0.185367622194017,0.281522353943775,0.533110023862208,0.466889976137792,8687589.17219243,7927,3719
50,2012,5,201205,0.214433970482957,0.254664759952895,0.530901269564148,0.469098730435852,1779599.0468908,2827,1030
51,2012,5,201205,0.217422317696922,0.238233858560997,0.544343823742081,0.455656176257919,2381360.320442,3535,1336
52,2012,5,201205,0.222703216775478,0.237004699652104,0.540292083572418,0.459707916427582,4695362.20326681,4209,1598
53,2012,5,201205,0.214017723012741,0.208059070295591,0.577923206691668,0.422076793308332,2122922.60901818,2529,1047
11,2012,6,201206,0.257204609138643,0.28328917399109,0.459506216870266,0.540493783129734,1168414.92503431,2509,1081
12,2012,6,201206,0.248853117079728,0.272314092415162,0.478832790505111,0.52116720949489,524815.391374291,2372,1079
13,2012,6,201206,0.245248533633617,0.290745682186676,0.464005784179707,0.535994215820293,2333609.65153989,3923,1823
14,2012,6,201206,0.235078941661678,0.299311214782498,0.465609843555824,0.534390156444176,297953.417440777,1333,582
15,2012,6,201206,0.244162801989115,0.318657749039468,0.437179448971417,0.562820551028583,5479421.6091326,4559,1955
16,2012,6,201206,0.22606625332293,0.265156608121676,0.508777138555395,0.491222861444606,469289.022553574,1057,433
17,2012,6,201206,0.233593559882263,0.290794837945121,0.475611602172616,0.524388397827384,965632.053416384,1822,755
21,2012,6,201206,0.243823116598035,0.271878684768084,0.484298198633881,0.515701801366119,4729992.49491202,8287,3739
