uf_code,date,year,month,pmc_retail_nominal_index
13,2025-10-01,2025,10,119.22672
13,2025-11-01,2025,11,132.63088
14,2007-12-01,2007,12,19.8753
14,2008-01-01,2008,1,14.94731
14,2008-02-01,2008,2,14.15775
14,2008-03-01,2008,3,16.11805
14,2008-04-01,2008,4,16.19973
14,2008-05-01,2008,5,18.75902
14,2008-06-01,2008,6,17.88777
14,2008-07-01,2008,7,18.26894
14,2008-08-01,2008,8,18.9496
14,2008-09-01,2008,9,18.16003
14,2008-10-01,2008,10,19.49413
14,2008-11-01,2008,11,19.19464
14,2008-12-01,2008,12,22.95189
14,2009-01-01,2009,1,18.26894
14,2009-02-01,2009,2,17.64273
14,2009-03-01,2009,3,20.22924
14,2009-04-01,2009,4,20.93713
14,2009-05-01,2009,5,21.15494
14,2009-06-01,2009,6,19.92975
14,2009-07-01,2009,7,19.65749
14,2009-08-01,2009,8,19.49413
14,2009-09-01,2009,9,18.78624
14,2009-10-01,2009,10,20.96436
14,2009-11-01,2009,11,21.64502
14,2009-12-01,2009,12,27.03585
14,2010-01-01,2010,1,20.50151
14,2010-02-01,2010,2,20.61041
14,2010-03-01,2010,3,23.03357
14,2010-04-01,2010,4,23.36028
14,2010-05-01,2010,5,24.31321
14,2010-06-01,2010,6,24.99387
14,2010-07-01,2010,7,24.74883
14,2010-08-01,2010,8,25.62008
14,2010-09-01,2010,9,27.41702
14,2010-10-01,2010,10,26.65468
14,2010-11-01,2010,11,24.42212
14,2010-12-01,2010,12,30.41193
14,2011-01-01,2011,1,25.62008
14,2011-02-01,2011,2,22.95189
14,2011-03-01,2011,3,25.59285
14,2011-04-01,2011,4,25.23891
14,2011-05-01,2011,5,25.81066
14,2011-06-01,2011,6,25.26614
14,2011-07-01,2011,7,26.65468
14,2011-08-01,2011,8,28.39718
14,2011-09-01,2011,9,28.58776
14,2011-10-01,2011,10,28.17936
14,2011-11-01,2011,11,28.66944
14,2011-12-01,2011,12,35.74831
