uf_code,date,credit_pf,year,month
25,2022-06-30,40499788429.61,2022,6
25,2022-07-31,41007123026.35,2022,7
25,2022-08-31,41577410834.19,2022,8
25,2022-09-30,42029917045.08,2022,9
25,2022-10-31,42641743175.69,2022,10
25,2022-11-30,43307090923.86,2022,11
25,2022-12-31,43743980374.62,2022,12
25,2023-01-31,44420635760.88,2023,1
25,2023-02-28,44508347352.65,2023,2
25,2023-03-31,44894099045.58,2023,3
25,2023-04-30,45054059418.33,2023,4
25,2023-05-31,45415663892.69,2023,5
25,2023-06-30,45281996226.11,2023,6
25,2023-07-31,45596208444.78,2023,7
25,2023-08-31,45964371298.11,2023,8
25,2023-09-30,46172583182.47,2023,9
25,2023-10-31,46566094209.36,2023,10
25,2023-11-30,47193056582.83,2023,11
25,2023-12-31,47415349570.08,2023,12
26,2022-01-31,72439971679.49,2022,1
26,2022-02-28,73179287260.43001,2022,2
26,2022-03-31,74386781173.9,2022,3
26,2022-04-30,75770186288.78,2022,4
26,2022-05-31,77137518263.17,2022,5
26,2022-06-30,78178556408.92,2022,6
26,2022-07-31,79546961667.7,2022,7
26,2022-08-31,80762728084.22,2022,8
26,2022-09-30,81635310493.04,2022,9
26,2022-10-31,82822190225.5,2022,10
26,2022-11-30,83889523199.23,2022,11
26,2022-12-31,84930393895.78,2022,12
26,2023-01-31,85776245639.72,2023,1
26,2023-02-28,85805649652.13,2023,2
26,2023-03-31,86589310456.86,2023,3
26,2023-04-30,86871901838.33,2023,4
26,2023-05-31,87580451225.42,2023,5
26,2023-06-30,87156403026.34,2023,6
26,2023-07-31,87793002513.15,2023,7
26,2023-08-31,88569138564.26,2023,8
26,2023-09-30,88901156109.6,2023,9
26,2023-10-31,89752196537.72,2023,10
26,2023-11-30,91002026862.06,2023,11
26,2023-12-31,91329354795.97,2023,12
27,2022-01-31,25458197744.13,2022,1
27,2022-02-28,25641219442.34,2022,2
27,2022-03-31,26006207260.850002,2022,3
27,2022-04-30,26546570755.35,2022,4
27,2022-05-31,27067950569.65,2022,5
27,2022-06-30,27398747415.63,2022,6
27,2022-07-31,27786583643.0,2022,7
27,2022-08-31,28204128696.83,2022,8
27,2022-09-30,28547626812.39,2022,9
27,2022-10-31,29006823412.36,2022,10
27,2022-11-30,29545687655.97,2022,11
27,2022-12-31,29809355288.78,2022,12
27,2023-01-31,30085121915.86,2023,1
27,2023-02-28,30126213659.75,2023,2
27,2023-03-31,30444103773.38,2023,3
27,2023-04-30,30550577604.15,2023,4
