uf_code,uf,state,year_month,consumption_index,year,month_num,date,mp_shock,share_PH2M_nearest,share_WH2M_nearest,share_Ricardian_nearest,total_weight_nearest,share_PH2M_linear,share_WH2M_linear,share_Ricardian_linear,total_weight_linear
42,SC,Santa Catarina,2017.03,79.83118,2017,3,686,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354
42,SC,Santa Catarina,2017.04,79.87936,2017,4,687,0.0,0.1909508432014347,0.2659354862885563,0.5431136705100088,5693281.03751354,0.1878025838685984,0.2674305451022195,0.5447668710291819,5694910.294587401
42,SC,Santa Catarina,2017.05,77.23068,2017,5,688,0.0,0.1814011232251646,0.2704704980233348,0.5481283787515006,5698223.11730425,0.1845493825580009,0.2689754392096715,0.5464751782323275,5696593.860230389
42,SC,Santa Catarina,2017.06,78.37724,2017,6,689,0.0,0.1814011232251646,0.2704704980233348,0.5481283787515006,5698223.11730425,0.1814011232251646,0.2704704980233348,0.5481283787515006,5698223.11730425
42,SC,Santa Catarina,2017.07,79.90805,2017,7,690,-0.328460526,0.1814011232251646,0.2704704980233348,0.5481283787515006,5698223.11730425,0.1832694695918078,0.2697971232246322,0.5469334071835599,5709702.695281944
42,SC,Santa Catarina,2017.08,79.47264,2017,8,691,0.0,0.1869458930874605,0.2684720953949273,0.544582011517612,5732291.54227031,0.1851378159584509,0.2691237484259297,0.5457384356156191,5721182.273259638
42,SC,Santa Catarina,2017.09,78.94626,2017,9,692,0.0,0.1869458930874605,0.2684720953949273,0.544582011517612,5732291.54227031,0.1869458930874605,0.2684720953949273,0.544582011517612,5732291.54227031
42,SC,Santa Catarina,2017.1,79.16401,2017,10,693,-0.195035395,0.1869458930874605,0.2684720953949273,0.544582011517612,5732291.54227031,0.1864092937630886,0.2689052323666728,0.5446854738702384,5743104.541574094
42,SC,Santa Catarina,2017.11,80.60122,2017,11,694,0.0,0.1853534047699699,0.2697575341497851,0.544889061080245,5764381.73375251,0.1858900040943417,0.2693243971780395,0.5447855987276187,5753568.734448725
42,SC,Santa Catarina,2017.12,79.71337,2017,12,695,0.0,0.1853534047699699,0.2697575341497851,0.544889061080245,5764381.73375251,0.1853534047699699,0.2697575341497851,0.544889061080245,5764381.73375251
42,SC,Santa Catarina,2018.01,83.72858,2018,1,696,0.0,0.1853534047699699,0.2697575341497851,0.544889061080245,5764381.73375251,0.1853716134898496,0.2710223249437752,0.5436060615663751,5780767.782689773
42,SC,Santa Catarina,2018.02,84.38147,2018,2,697,0.0,0.1854062687954271,0.2734295074226597,0.5411642237819132,5811954.13389295,0.1853880600755474,0.2721647166286695,0.5424472232957831,5795568.084955687
42,SC,Santa Catarina,2018.03,87.37217,2018,3,698,0.0,0.1854062687954271,0.2734295074226597,0.5411642237819132,5811954.13389295,0.1854062687954271,0.2734295074226597,0.5411642237819132,5811954.13389295
42,SC,Santa Catarina,2018.04,88.20946,2018,4,699,0.0,0.1854062687954271,0.2734295074226597,0.5411642237819132,5811954.13389295,0.1863708549723453,0.2692547030861154,0.5443744419415393,5813570.609307563
42,SC,Santa Catarina,2018.05,81.9736,2018,5,700,0.08898676,0.1883321801987457,0.2607659342684753,0.550901885532779,5816857.44265061,0.1873675940218274,0.2649407386050196,0.5476916673731529,5815240.967235996
42,SC,Santa Catarina,2018.06,82.77481,2018,6,701,0.0,0.1883321801987457,0.2607659342684753,0.550901885532779,5816857.44265061,0.1883321801987457,0.2607659342684753,0.550901885532779,5816857.44265061
42,SC,Santa Catarina,2018.07,83.13526,2018,7,702,0.0,0.1883321801987457,0.2607659342684753,0.550901885532779,5816857.44265061,0.1888667196441985,0.2636239079538502,0.5475093724019512,5830221.7979850685
42,SC,Santa Catarina,2018.08,83.30211,2018,8,703,0.0,0.1899185553271862,0.2692476626250719,0.5408337820477418,5856519.40041739,0.1894012590896512,0.2664818816392251,0.5441168592711235,5843586.153319527
42,SC,Santa Catarina,2018.09,84.67901,2018,9,704,0.0,0.1899185553271862,0.2692476626250719,0.5408337820477418,5856519.40041739,0.1899185553271862,0.2692476626250719,0.5408337820477418,5856519.40041739
42,SC,Santa Catarina,2018.1,84.75504,2018,10,705,0.0,0.1899185553271862,0.2692476626250719,0.5408337820477418,5856519.40041739,0.1903123150888198,0.2692203527122933,0.5404673321988868,5868890.751642818
42,SC,Santa Catarina,2018.11,87.07382,2018,11,706,0.0,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,0.1906933729226587,0.269193923764443,0.5401127033128981,5880863.027022263
42,SC,Santa Catarina,2018.12,86.39411,2018,12,707,0.0,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769
42,SC,Santa Catarina,2019.01,91.01903,2019,1,708,0.0,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,,,,
42,SC,Santa Catarina,2019.02,90.82589,2019,2,709,0.0,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,,,,
42,SC,Santa Catarina,2019.03,92.18219,2019,3,710,0.0,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,,,,
42,SC,Santa Catarina,2019.04,91.51179,2019,4,711,0.0,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,,,,
42,SC,Santa Catarina,2019.05,91.2415,2019,5,712,0.0,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,,,,
42,SC,Santa Catarina,2019.06,88.66656,2019,6,713,0.0,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,,,,
42,SC,Santa Catarina,2019.07,90.64639,2019,7,714,0.0,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,,,,
42,SC,Santa Catarina,2019.08,91.38608,2019,8,715,-0.104547698,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,,,,
42,SC,Santa Catarina,2019.09,93.58243,2019,9,716,0.0,0.1910871326842924,0.2691666138516644,0.539746253464043,5893234.37824769,,,,
