horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
31,mp_pos_x_ph2m,6.806003250313964,-37.76860130378626,51.38060780441419,27.0994353684307,0.007804617340971183,0.0531182509901066,-0.2947694806797571,0.4010059826599703,1803,driscoll_kraay,cumulative,twfe_directional_dummies
32,mp_pos_x_ph2m,5.3111502980783305,-42.08097973555784,52.7032803317145,28.812369232800062,0.007804617340971183,0.04145149571688641,-0.3284259441691917,0.4113289356029645,1776,driscoll_kraay,cumulative,twfe_directional_dummies
33,mp_pos_x_ph2m,-6.404690037123598,-46.32870739866371,33.51932732441651,24.272079112312404,0.007804617340971183,-0.0499861549272802,-0.36157783314839076,0.2616055232938303,1749,driscoll_kraay,cumulative,twfe_directional_dummies
34,mp_pos_x_ph2m,0.3355994230809558,-46.411262337839645,47.08246118400156,28.420073977986725,0.007804617340971183,0.0026192250769975526,-0.3622221428582661,0.3674605930122612,1722,driscoll_kraay,cumulative,twfe_directional_dummies
35,mp_pos_x_ph2m,10.7672649925323,-37.22867322950587,58.76320321457047,29.179458546103323,0.007804617340971183,0.08403438307554956,-0.2905555486683512,0.45862431481945026,1695,driscoll_kraay,cumulative,twfe_directional_dummies
36,mp_pos_x_ph2m,4.704360426951904,-39.90169000517287,49.31041085907667,27.11855310481118,0.007804617340971183,0.03671573296636743,-0.3114174217484287,0.38484888768116354,1668,driscoll_kraay,cumulative,twfe_directional_dummies
37,mp_pos_x_ph2m,-9.73167136456951,-42.42636796153145,22.963025232392432,19.87696416340549,0.007804617340971183,-0.0759519710885519,-0.3311215671069926,0.17921762492988882,1641,driscoll_kraay,cumulative,twfe_directional_dummies
38,mp_pos_x_ph2m,-6.350061474748067,-38.69160021028277,25.991477260786638,19.662259428807452,0.007804617340971183,-0.04955979990205181,-0.3019731339510972,0.20285353414699359,1614,driscoll_kraay,cumulative,twfe_directional_dummies
39,mp_pos_x_ph2m,-13.913956944531122,-45.255354802998525,17.427440913936277,19.054216949720153,0.007804617340971183,-0.10859310965081402,-0.3532007268672858,0.13601450756565775,1587,driscoll_kraay,cumulative,twfe_directional_dummies
40,mp_pos_x_ph2m,-6.58234769162767,-36.95923903319191,23.79454364993657,18.467838623345454,0.007804617340971183,-0.051372704938378956,-0.28845271786754867,0.18570730799079072,1560,driscoll_kraay,cumulative,twfe_directional_dummies
41,mp_pos_x_ph2m,-3.9866549509986946,-32.144342254925505,24.171032352928112,17.11865836725759,0.007804617340971183,-0.031114316363033034,-0.25087429097690433,0.18864565825083826,1533,driscoll_kraay,cumulative,twfe_directional_dummies
42,mp_pos_x_ph2m,-1.4686026631612783,-28.40504208931508,25.467836762992526,16.376192376507746,0.007804617340971183,-0.011461881811904974,-0.22169048406128483,0.19876672043747487,1506,driscoll_kraay,cumulative,twfe_directional_dummies
43,mp_pos_x_ph2m,-0.382072525979876,-27.929093406698456,27.164948354738705,16.747399543249028,0.007804617340971183,-0.0029819298617712034,-0.21797588671952273,0.21201202699598032,1479,driscoll_kraay,cumulative,twfe_directional_dummies
44,mp_pos_x_ph2m,2.5881023902517515,-23.65870503402332,28.834909814526824,15.956925889460582,0.007804617340971183,0.02019914879516779,-0.18464713957346063,0.2250454371637962,1452,driscoll_kraay,cumulative,twfe_directional_dummies
45,mp_pos_x_ph2m,-1.1156374127838806,-27.95525195518149,25.723977129613733,16.317327026929107,0.007804617340971183,-0.0087071230980493,-0.21818004418062806,0.20076579798452945,1425,driscoll_kraay,cumulative,twfe_directional_dummies
46,mp_pos_x_ph2m,-1.6395322260187029,-28.637118956564432,25.35805450452703,16.413367297965806,0.007804617340971183,-0.012795921642266653,-0.22350175520385737,0.19790991191932408,1398,driscoll_kraay,cumulative,twfe_directional_dummies
