dataset,response_label,group,model_series,horizon,lp_estimate_1sd,lp_ci_low_1sd,lp_ci_high_1sd,lp_shock_sd,model_cum_response_at_model_shock,model_1sd_termshock,gap_model_minus_lp,model_in_lp_ci,sign_match
lp_controls,consumption,PH2M,cP,30,-0.0152000222800071,-0.0319636657244736,0.0015636211644594,0.0079895938006006,-0.0017992875401166,-0.021236615801984368,-0.0060365935219772685,True,True
lp_controls,consumption,PH2M,cP,31,-0.016895792367579,-0.0299750148912248,-0.0038165698439333,0.0079895938006006,-0.001797092043227,-0.021210702809814224,-0.004314910442235222,True,True
lp_controls,consumption,PH2M,cP,32,-0.0144574628939207,-0.0321004509828306,0.0031855251949891,0.0079895938006006,-0.0017949606039415,-0.021185545876193437,-0.006728082982272737,True,True
lp_controls,consumption,PH2M,cP,33,-0.0135299015332355,-0.025136058877129,-0.0019237441893419,0.0079895938006006,-0.0017928717174958,-0.02116089118487132,-0.007630989651635821,True,True
lp_controls,consumption,PH2M,cP,34,-0.0077448626515379,-0.0204536920261653,0.0049639667230895,0.0079895938006006,-0.00179079695454,-0.021136403190156666,-0.013391540538618766,False,True
lp_controls,consumption,PH2M,cP,35,-0.0036419979344078,-0.0160027861671611,0.0087187902983455,0.0079895938006006,-0.0017886977271182,-0.021111626446449063,-0.017469628512041264,False,True
lp_controls,consumption,PH2M,cP,36,-0.0138683725994132,-0.0240466469454622,-0.0036900982533643,0.0079895938006006,-0.0017865208614225,-0.021085933354377126,-0.007217560754963926,True,True
lp_controls,consumption,PH2M,cP,37,-0.015631718903603,-0.0250626496897137,-0.0062007881174924,0.0079895938006006,-0.0017841928479314,-0.021058456296380538,-0.005426737392777537,True,True
lp_controls,consumption,PH2M,cP,38,-0.0161826665081614,-0.0281133657349263,-0.0042519672813966,0.0079895938006006,-0.0017816131137208,-0.02102800823119903,-0.004845341723037629,True,True
lp_controls,consumption,PH2M,cP,39,-0.0121269534447548,-0.0233987622538684,-0.0008551446356411608,0.0079895938006006,-0.0017786479982219,-0.020993011590998558,-0.008866058146243758,True,True
lp_controls,consumption,PH2M,cP,40,-0.0045803875426077,-0.0160850701008631,0.0069242950156475,0.0079895938006006,-0.0017751304671348,-0.02095149490475316,-0.01637110736214546,False,True
lp_controls,consumption,PH2M,cP,41,-0.0100920208655359,-0.0222697405902358,0.0020856988591639,0.0079895938006006,-0.0017708785158514,-0.020901310010009506,-0.010809289144473606,True,True
lp_controls,consumption,PH2M,cP,42,-0.0145632639980703,-0.0264701688285387,-0.002656359167602,0.0079895938006006,-0.0017657631130594,-0.020840933977083125,-0.006277669979012825,True,True
lp_controls,consumption,PH2M,cP,43,-0.0034534365402827,-0.0135854696517052,0.0066785965711397,0.0079895938006006,-0.0017598949580877,-0.020771673367079444,-0.017318236826796743,False,True
lp_controls,consumption,PH2M,cP,44,-0.0031022531420662,-0.0131755606598268,0.0069710543756942,0.0079895938006006,-0.0017540725598478,-0.02070295281424391,-0.017600699672177707,False,True
lp_controls,consumption,PH2M,cP,45,-0.0075598538000099,-0.0164222983617829,0.0013025907617631,0.0079895938006006,-0.0017507172294581,-0.020663350549021662,-0.013103496749011762,False,True
lp_controls,consumption,PH2M,cP,46,-0.0104480671876471,-0.0217260201638348,0.0008298857885405449,0.0079895938006006,-0.0017552005753502,-0.02071626654610113,-0.01026819935845403,True,True
lp_controls,consumption,PH2M,cP,47,-0.0124509980259074,-0.0262160140153098,0.0013140179634949,0.0079895938006006,-0.0017735597542285,-0.020932956107711218,-0.008481958081803817,True,True
lp_controls,consumption,WH2M,cW,0,0.00016205955757454907,-0.0101527024279672,0.0104768215431163,0.0093626043928953,-0.0023343525167253,-0.03228666231746338,-0.03244872187503793,False,False
lp_controls,consumption,WH2M,cW,1,-0.0111322938900558,-0.0250509760163058,0.0027863882361942,0.0093626043928953,-0.0023063701231923,-0.031899635043578574,-0.020767341153522773,False,True
lp_controls,consumption,WH2M,cW,2,-0.0139363450703171,-0.0327599018541662,0.004887211713532,0.0093626043928953,-0.0027215241890357,-0.03764167230554759,-0.023705327235230486,False,True
lp_controls,consumption,WH2M,cW,3,-0.0177200245794965,-0.0342212963084046,-0.0012187528505884,0.0093626043928953,-0.0029985518154025,-0.04147326901642509,-0.02375324443692859,False,True
lp_controls,consumption,WH2M,cW,4,-0.0140421500347324,-0.0268395773724951,-0.0012447226969697,0.0093626043928953,-0.0032911575328325,-0.045520327857424145,-0.031478177822691744,False,True
lp_controls,consumption,WH2M,cW,5,-0.0175490413217198,-0.0340007833968278,-0.0010972992466118,0.0093626043928953,-0.0035601350825161,-0.04924058315536682,-0.031691541833647016,False,True
lp_controls,consumption,WH2M,cW,6,-0.0182045034367687,-0.0328292527533423,-0.0035797541201951,0.0093626043928953,-0.0038168358038946,-0.05279103641742321,-0.034586532980654505,False,True
lp_controls,consumption,WH2M,cW,7,-0.0167353296257965,-0.0330127880699504,-0.0004578711816426772,0.0093626043928953,-0.0040592885118116,-0.05614442398523242,-0.03940909435943592,False,True
lp_controls,consumption,WH2M,cW,8,-0.0186320847649621,-0.0358229432640844,-0.0014412262658398,0.0093626043928953,-0.0042889640311351,-0.059321088984136905,-0.040689004219174804,False,True
lp_controls,consumption,WH2M,cW,9,-0.0250369780760159,-0.0425916831577386,-0.0074822729942932,0.0093626043928953,-0.0045063793050136,-0.06232818130634593,-0.03729120323033003,False,True
lp_controls,consumption,WH2M,cW,10,-0.0297825336597292,-0.0486375938677606,-0.0109274734516978,0.0093626043928953,-0.004712253607881,-0.06517564930824289,-0.03539311564851369,False,True
lp_controls,consumption,WH2M,cW,11,-0.0231655556077168,-0.0426962975806872,-0.0036348136347465,0.0093626043928953,-0.0049072078005977,-0.06787208017826751,-0.044706524570550715,False,True
lp_controls,consumption,WH2M,cW,12,-0.0227150599069049,-0.0403618254006842,-0.0050682944131255,0.0093626043928953,-0.0050918457359191,-0.07042582586406412,-0.04771076595715922,False,True
lp_controls,consumption,WH2M,cW,13,-0.0325252544494982,-0.0507078339877703,-0.0143426749112261,0.0093626043928953,-0.0052667352604047,-0.0728447403079929,-0.0403194858584947,False,True
lp_controls,consumption,WH2M,cW,14,-0.0304988165654845,-0.0487940270301105,-0.0122036061008586,0.0093626043928953,-0.0054324154367819,-0.07513627934036343,-0.04463746277487893,False,True
lp_controls,consumption,WH2M,cW,15,-0.0335384333970635,-0.0532771235604719,-0.0137997432336551,0.0093626043928953,-0.0055893967688681,-0.07730750379035474,-0.04376907039329124,False,True
