dataset,response_label,horizon,lp_diff_ph_minus_wh,model_diff_ph_minus_wh,gap_diff_model_minus_lp
lp_income,income,42,0.009100612124035307,0.08560299894207915,0.07650238681804385
lp_income,income,43,0.0131976406998077,0.08624946134438055,0.07305182064457286
lp_income,income,44,0.0156082082512298,0.08688224665329317,0.07127403840206337
lp_income,income,45,0.009695307655363701,0.08748733203707923,0.07779202438171554
lp_income,income,46,0.006226046186607,0.08802428223786521,0.08179823605125822
lp_income,income,47,0.0130957587355844,0.08839508141265383,0.07529932267706943
lp_wealth,wealth,0,0.0970448059972403,-9.917396783207244e-05,-0.09714397996507237
lp_wealth,wealth,1,0.11839031561950081,0.011095140969034516,-0.10729517465046629
lp_wealth,wealth,2,0.2621937941872299,0.013812414066665297,-0.24838138012056457
lp_wealth,wealth,3,0.45420237989902545,0.018450972373158188,-0.4357514075258673
lp_wealth,wealth,4,0.5136098999281749,0.022298877327804924,-0.4913110226003699
lp_wealth,wealth,5,0.845739923874801,0.02608329772866711,-0.8196566261461339
lp_wealth,wealth,6,0.9583919185136646,0.029628186238644307,-0.9287637322750203
lp_wealth,wealth,7,1.0707542915864798,0.03299370220155072,-1.037760589384929
lp_wealth,wealth,8,1.0322036000710502,0.03617728275674765,-0.9960263173143025
lp_wealth,wealth,9,0.8836867468388874,0.03919211916219427,-0.8444946276766931
lp_wealth,wealth,10,0.8890321307363669,0.042046604026633655,-0.8469855267097333
lp_wealth,wealth,11,0.7259586650308567,0.04474976063279017,-0.6812089043980666
lp_wealth,wealth,12,0.7446572535175242,0.04730985292009522,-0.697347400597429
lp_wealth,wealth,13,0.6424520867226239,0.04973478296486576,-0.5927173037577581
lp_wealth,wealth,14,0.8463114036139026,0.052032017720952256,-0.7942793858929503
lp_wealth,wealth,15,0.9877032133253572,0.054208637653801524,-0.9334945756715556
lp_wealth,wealth,16,0.8792695023343412,0.056271351859852034,-0.8229981504744892
lp_wealth,wealth,17,0.9225281981109203,0.058226520536825165,-0.8643016775740952
lp_wealth,wealth,18,0.8066076031201665,0.06008017416719335,-0.7465274289529732
lp_wealth,wealth,19,0.6881706684806921,0.06183803228850703,-0.626332636192185
