t,Y,cR,cW,cP,pi,R,r,X,q,hW,bW,A,j,u,TP
29,6.1494391444845e-07,1.0065451933237264e-05,-2.076658432402943e-05,3.0578981311806766e-07,-6.451005992300532e-07,-1.8781117248502718e-06,-1.306967728180223e-06,2.94340058597681e-07,7.94833005615439e-06,-9.361972888608373e-05,-8.53944353019092e-05,-0.0,-0.0,-0.0,-0.0
30,5.372128747752036e-07,8.758484205057041e-06,-1.806456801822329e-05,2.7208386801763304e-07,-5.711439966700597e-07,-1.6455382027901463e-06,-1.1375077879532908e-06,2.5194785462371697e-07,6.918325855995473e-06,-8.148327550815749e-05,-7.432386196914316e-05,-0.0,-0.0,-0.0,-0.0
31,4.6984093843123087e-07,7.620976417103751e-06,-1.571215800616431e-05,2.435432257996231e-07,-5.08030414834732e-07,-1.44454181060374e-06,-9.900240058111926e-07,2.1449921706543093e-07,6.021905751058578e-06,-7.092156790619033e-05,-6.468979426896737e-05,-0.0,-0.0,-0.0,-0.0
32,4.1152253486993275e-07,6.630952411292558e-06,-1.3663917140917264e-05,2.1960523372196036e-07,-4.5451780479601525e-07,-1.2712100652109298e-06,-8.616628316002463e-07,1.8127848593202567e-07,5.241749631415643e-06,-6.173030394589693e-05,-5.6305854174931765e-05,-0.0,-0.0,-0.0,-0.0
33,3.6112611595549297e-07,5.769289579692312e-06,-1.1880296412003923e-05,1.9979304099297213e-07,-4.095472336081066e-07,-1.1221625790314452e-06,-7.499408281754899e-07,1.5165406500209592e-07,4.562786939362182e-06,-5.373166480572356e-05,-4.9009819142059777e-05,-0.0,-0.0,-0.0,-0.0
34,3.176712055052602e-07,5.019348751516822e-06,-1.0326872230790823e-05,1.837033953269931e-07,-3.722217508558573e-07,-9.94485336249039e-07,-6.526975178762487e-07,1.25068266008476e-07,3.97190483548869e-06,-4.6770876522434164e-05,-4.2660485673696025e-05,-0.0,-0.0,-0.0,-0.0
35,2.8030714534118055e-07,4.366651233640573e-06,-8.973684099209188e-06,1.709925163263627e-07,-3.417878183735216e-07,-8.856738197914098e-07,-5.680555059202799e-07,1.0103086567423582e-07,3.4576933308633105e-06,-4.071321903275084e-05,-3.713494211912774e-05,-0.0,-0.0,-0.0,-0.0
36,2.482917547400178e-07,3.7985957277202933e-06,-7.794661150169365e-06,1.6135603194188156e-07,-3.176183138700004e-07,-7.935837162797062e-07,-4.943882700028638e-07,7.911880068424213e-08,3.0102214077022604e-06,-3.544142744211471e-05,-3.232620160045022e-05,-0.0,-0.0,-0.0,-0.0
37,2.2096659071694305e-07,3.3042074577174296e-06,-6.7671291839091514e-06,1.5449468617424252e-07,-2.9919544627967284e-07,-7.163878783591421e-07,-4.3029744568983436e-07,5.898738156391561e-08,2.6208375716667255e-06,-3.0853440751900774e-05,-2.814115704488239e-05,-0.0,-0.0,-0.0,-0.0
38,1.977222048217485e-07,2.873910012027595e-06,-5.871394369028041e-06,1.5004846025283885e-07,-2.8609043266423225e-07,-6.525379337103792e-07,-3.7460434895932355e-07,4.0404619808029037e-08,2.2819862613235915e-06,-2.6860466165336493e-05,-2.4498835228971738e-05,-0.0,-0.0,-0.0,-0.0
39,1.7793978702333087e-07,2.4993056630682715e-06,-5.090407563263458e-06,1.474625775665954e-07,-2.779335847498435e-07,-6.007281508122162e-07,-3.2636651197227796e-07,2.3333358249689586e-08,1.987026587405253e-06,-2.3385346237881665e-05,-2.1328950913420627e-05,-0.0,-0.0,-0.0,-0.0
40,1.6088074846397197e-07,2.1729391510959936e-06,-4.409528074220454e-06,1.457083555303357e-07,-2.743616388388422e-07,-5.598573789685756e-07,-2.84942653734488e-07,8.113525330010038e-09,1.7300288124883796e-06,-2.0361249550348803e-05,-1.857080679845851e-05,-0.0,-0.0,-0.0,-0.0
41,1.4546442343374202e-07,1.8879964973615055e-06,-3.816435686014258e-06,1.4269632078137822e-07,-2.7491472523422256e-07,-5.289809646030033e-07,-2.501561191557456e-07,-4.144846383771718e-09,1.5055000981576211e-06,-1.773077003615641e-05,-1.6172673756168153e-05,-0.0,-0.0,-0.0,-0.0
42,1.2980780550858137e-07,1.63784037820576e-06,-3.301301912993102e-06,1.340383848610554e-07,-2.788248454438192e-07,-5.072361617801751e-07,-2.2266292947898034e-07,-1.07240931190274e-08,1.3079401608292283e-06,-1.544565082006167e-05,-1.4091968223694356e-05,-0.0,-0.0,-0.0,-0.0
43,1.10261441892698e-07,1.4151774487267796e-06,-2.8574611986926182e-06,1.1043493508863903e-07,-2.845732323034656e-07,-4.93706748184888e-07,-2.0474890098688334e-07,-5.523533574671831e-09,1.1310196668917036e-06,-1.3467618389336648e-05,-1.229692268449735e-05,-0.0,-0.0,-0.0,-0.0
44,7.938343866435403e-08,1.2104285477398964e-06,-2.4830881721390115e-06,5.216687562590667e-08,-2.8895784719637986e-07,-4.871548631918224e-07,-2.0202832912456026e-07,2.468932932561169e-08,9.659468038518634e-07,-1.1771349261498662e-05,-1.0771202090614363e-05,-0.0,-0.0,-0.0,-0.0
45,2.1737655574424914e-08,1.008400218615336e-06,-2.184790958477708e-06,-8.233495489849987e-08,-2.851265340657487e-07,-4.8546834329605e-07,-2.270057869643138e-07,1.080613422355178e-07,7.981188417591415e-07,-1.035111613166912e-05,-9.523704601081352e-06,-0.0,-0.0,-0.0,-0.0
46,-9.352892605908677e-08,7.813944316510222e-07,-1.981712766923124e-06,-3.765380827583492e-07,-2.584625563303283e-07,-4.845019780316339e-07,-3.0579080902763435e-07,3.0125061213426713e-07,6.004057436231275e-07,-9.22146058334754e-06,-8.590953602381812e-06,-0.0,-0.0,-0.0,-0.0
47,-2.9892090241763856e-07,4.7560362262338783e-07,-1.8392764215565676e-06,-9.14863132378169e-07,-1.7871116900249644e-07,-4.7560362262338783e-07,-4.7560362262338783e-07,6.602629396644552e-07,3.2471617193611217e-07,-8.127956859699009e-06,-7.65235323707525e-06,-0.0,-0.0,-0.0,-0.0
