uf_code,uf,state_name,year,quarter,consumption_index,share_PH2M,share_WH2M,share_Ricardian,total_weight,mp_shock_quarterly,macro_region,t_index,t_order
21,MA,Maranhão,2020,1,91.88400000000001,0.214216785999863,0.2463397758641127,0.5394434381360244,5109716.77825649,0.0,Northeast,2020Q1,8081
21,MA,Maranhão,2020,2,86.06109,0.2246844013394354,0.230746833088216,0.5445687655723483,5102230.60251718,-0.293676167,Northeast,2020Q2,8082
21,MA,Maranhão,2020,3,111.14809333333334,0.2160909499940231,0.2386657931794918,0.545243256826485,5074991.50486706,-0.084446286,Northeast,2020Q3,8083
21,MA,Maranhão,2020,4,107.26696666666668,0.2236227462774659,0.2475823645739331,0.5287948891486011,5067156.15859626,0.0,Northeast,2020Q4,8084
22,PI,Piauí,2015,1,100.86266333333333,0.2459987545145947,0.2687426492119344,0.4852585962734708,2434682.78406587,0.092851242,Northeast,2015Q1,8061
22,PI,Piauí,2015,2,98.01444,0.2454845394369621,0.2659005520498981,0.4886149085131396,2466854.42395685,0.0,Northeast,2015Q2,8062
22,PI,Piauí,2015,3,95.80019,0.2437621638461508,0.2731617561058072,0.4830760800480419,2471082.56540627,0.077390703,Northeast,2015Q3,8063
22,PI,Piauí,2015,4,95.55743000000001,0.2345242027859685,0.2798959447335244,0.485579852480507,2483862.27712491,0.0,Northeast,2015Q4,8064
22,PI,Piauí,2016,1,92.65397666666667,0.2385209731852516,0.263096068936639,0.4983829578781093,2487257.21059293,-0.207600025,Northeast,2016Q1,8065
22,PI,Piauí,2016,2,91.07246333333335,0.2340215230324724,0.2585657088781701,0.5074127680893575,2483625.25593268,0.0,Northeast,2016Q2,8066
22,PI,Piauí,2016,3,86.26084666666667,0.2366909634416506,0.2576155982426193,0.5056934383157299,2485133.61688122,0.0,Northeast,2016Q3,8067
22,PI,Piauí,2016,4,85.20439666666665,0.2342281193871314,0.2578870506762136,0.507884829936655,2492867.91003433,0.0,Northeast,2016Q4,8068
22,PI,Piauí,2017,1,86.56420666666668,0.223776927640932,0.2492027378609204,0.5270203344981476,2485920.98745669,-0.224587529,Northeast,2017Q1,8069
22,PI,Piauí,2017,2,89.03107666666666,0.2261378934905122,0.2505299189504493,0.5233321875590384,2502378.77157568,0.0,Northeast,2017Q2,8070
22,PI,Piauí,2017,3,90.71965,0.2273253520146969,0.2463592237478135,0.5263154242374896,2504997.01900602,-0.328460526,Northeast,2017Q3,8071
22,PI,Piauí,2017,4,90.86634,0.2276598521886039,0.25486246225143,0.517477685559966,2505102.03484718,-0.195035395,Northeast,2017Q4,8072
22,PI,Piauí,2018,1,91.48809666666666,0.2281333931108253,0.2513315731925074,0.5205350336966673,2521562.59260527,0.0,Northeast,2018Q1,8073
22,PI,Piauí,2018,2,90.34302333333333,0.2246192810462015,0.2525065078200232,0.5228742111337753,2522565.01553882,0.08898676,Northeast,2018Q2,8074
22,PI,Piauí,2018,3,87.65607999999999,0.2261727347542509,0.2594769931930424,0.5143502720527067,2522171.07726354,0.0,Northeast,2018Q3,8075
22,PI,Piauí,2018,4,85.68832333333334,0.2301345521249804,0.2519797170964079,0.5178857307786117,2538417.02667428,0.0,Northeast,2018Q4,8076
22,PI,Piauí,2019,1,86.62845666666665,0.2216976828074139,0.2539191839571274,0.5243831332354586,2539335.48597371,0.0,Northeast,2019Q1,8077
22,PI,Piauí,2019,2,81.53231666666666,0.2208727596212607,0.2566128669013369,0.5225143734774026,2539751.94662277,0.0,Northeast,2019Q2,8078
22,PI,Piauí,2019,3,79.66711333333333,0.2186820223226356,0.2696121867393465,0.5117057909380177,2561584.23813715,-0.104547698,Northeast,2019Q3,8079
22,PI,Piauí,2019,4,86.02980333333335,0.2214426481417391,0.2658429712025661,0.5127143806556947,2569507.83515414,0.0,Northeast,2019Q4,8080
22,PI,Piauí,2020,1,87.41832333333333,0.2164811241826964,0.2566314687782942,0.5268874070390093,2535294.75298752,0.0,Northeast,2020Q1,8081
22,PI,Piauí,2020,2,73.29983333333332,0.2031447100655735,0.2338259740329138,0.5630293159015126,2576995.99795445,-0.293676167,Northeast,2020Q2,8082
22,PI,Piauí,2020,3,92.97113666666667,0.2101282717659528,0.2354309207426889,0.5544408074913582,2600741.56351153,-0.084446286,Northeast,2020Q3,8083
22,PI,Piauí,2020,4,102.09148,0.2270525249113341,0.2539749138576884,0.5189725612309775,2538046.62974432,0.0,Northeast,2020Q4,8084
23,CE,Ceará,2015,1,118.5278,0.2393210218326425,0.2506482072451355,0.5100307709222219,6644202.77848762,0.092851242,Northeast,2015Q1,8061
23,CE,Ceará,2015,2,115.44192666666667,0.2326682034131126,0.2559313223164616,0.5114004742704257,6663749.5859901,0.0,Northeast,2015Q2,8062
23,CE,Ceará,2015,3,111.70197,0.2294085676534794,0.2537112292361483,0.5168802031103722,6666365.97246805,0.077390703,Northeast,2015Q3,8063
23,CE,Ceará,2015,4,112.12635666666667,0.2366637211401117,0.2452515401178409,0.5180847387420473,6691560.51568818,0.0,Northeast,2015Q4,8064
23,CE,Ceará,2016,1,110.12877666666667,0.2306959183800837,0.2527488013452671,0.5165552802746491,6721415.37893102,-0.207600025,Northeast,2016Q1,8065
23,CE,Ceará,2016,2,106.82645333333333,0.2274719651578248,0.259253686328424,0.5132743485137511,6742219.0984158,0.0,Northeast,2016Q2,8066
23,CE,Ceará,2016,3,104.31554999999999,0.2283541898098625,0.2495396991432779,0.5221061110468596,6783762.23405674,0.0,Northeast,2016Q3,8067
23,CE,Ceará,2016,4,104.13295,0.2232584315934999,0.2564832150337208,0.5202583533727791,6810227.84169172,0.0,Northeast,2016Q4,8068
23,CE,Ceará,2017,1,104.05287333333332,0.2183908945619106,0.2464288591470979,0.5351802462909914,6846371.03388716,-0.224587529,Northeast,2017Q1,8069
23,CE,Ceará,2017,2,103.5729,0.2187723069343808,0.2502289796852666,0.5309987133803526,6888500.79365652,0.0,Northeast,2017Q2,8070
23,CE,Ceará,2017,3,105.10594666666667,0.2239329313813703,0.2507760191579337,0.5252910494606959,6885951.42864241,-0.328460526,Northeast,2017Q3,8071
23,CE,Ceará,2017,4,105.68763333333334,0.2316144854058668,0.2575855980984574,0.5107999164956757,6906948.93533368,-0.195035395,Northeast,2017Q4,8072
23,CE,Ceará,2018,1,107.66636999999999,0.2202100356138176,0.2468997995228476,0.5328901648633347,6918012.33336765,0.0,Northeast,2018Q1,8073
23,CE,Ceará,2018,2,106.96240666666667,0.2148272368807685,0.2541882460256209,0.5309845170936106,6966039.09074491,0.08898676,Northeast,2018Q2,8074
23,CE,Ceará,2018,3,106.63865,0.21951753399229,0.2580229012627599,0.52245956474495,6973944.30074665,0.0,Northeast,2018Q3,8075
23,CE,Ceará,2018,4,106.17394999999999,0.2276645201061226,0.2568910634857777,0.5154444164080996,6957098.85063252,0.0,Northeast,2018Q4,8076
23,CE,Ceará,2019,1,106.88263,0.2179172873454454,0.2531272792040007,0.5289554334505537,6982501.89467404,0.0,Northeast,2019Q1,8077
23,CE,Ceará,2019,2,105.74936333333333,0.223522026334079,0.2494196305956468,0.5270583430702741,6983616.00060998,0.0,Northeast,2019Q2,8078
23,CE,Ceará,2019,3,103.76218333333334,0.2137421022916037,0.2573245598500791,0.5289333378583171,7011912.23741928,-0.104547698,Northeast,2019Q3,8079
23,CE,Ceará,2019,4,105.16611666666667,0.2255733965957439,0.2563084983099069,0.518118105094349,7056893.92990208,0.0,Northeast,2019Q4,8080
23,CE,Ceará,2020,1,98.06847666666665,0.2184924568397643,0.2477616603772195,0.5337458827830163,7075689.83830457,0.0,Northeast,2020Q1,8081
23,CE,Ceará,2020,2,79.14737333333333,0.2142543146033025,0.2458047987751484,0.5399408866215489,7065547.99684228,-0.293676167,Northeast,2020Q2,8082
23,CE,Ceará,2020,3,108.30302666666667,0.2092938232879566,0.2361167726256082,0.5545894040864352,7072383.36838871,-0.084446286,Northeast,2020Q3,8083
23,CE,Ceará,2020,4,109.1194,0.2109311318568806,0.2395318463584812,0.5495370217846381,7107452.22935372,0.0,Northeast,2020Q4,8084
24,RN,Rio Grande do Norte,2015,1,108.55017,0.2233485108933381,0.2558699702931417,0.5207815188135202,2543080.5849829,0.092851242,Northeast,2015Q1,8061
24,RN,Rio Grande do Norte,2015,2,106.04910333333333,0.2205285570224026,0.2565055026322237,0.5229659403453737,2526154.66977915,0.0,Northeast,2015Q2,8062
24,RN,Rio Grande do Norte,2015,3,103.39787,0.2212168435032959,0.2518660648980114,0.5269170915986927,2542843.61075769,0.077390703,Northeast,2015Q3,8063
24,RN,Rio Grande do Norte,2015,4,101.82703333333332,0.2258773211912734,0.2524670426385543,0.5216556361701722,2571921.36304773,0.0,Northeast,2015Q4,8064
24,RN,Rio Grande do Norte,2016,1,96.79746666666666,0.2219014742778261,0.2463017811923007,0.5317967445298731,2572602.57625992,-0.207600025,Northeast,2016Q1,8065
24,RN,Rio Grande do Norte,2016,2,95.78168666666666,0.2146626963423167,0.2409483230886571,0.5443889805690263,2590442.71574274,0.0,Northeast,2016Q2,8066
24,RN,Rio Grande do Norte,2016,3,93.53197666666667,0.2161756935217715,0.2406819071880149,0.5431423992902136,2617139.83497442,0.0,Northeast,2016Q3,8067
24,RN,Rio Grande do Norte,2016,4,93.41945333333332,0.2247702506464259,0.2357697553262456,0.5394599940273284,2623120.23693806,0.0,Northeast,2016Q4,8068
24,RN,Rio Grande do Norte,2017,1,95.68195333333334,0.2217977750791986,0.2373904816880136,0.5408117432327878,2621059.99835303,-0.224587529,Northeast,2017Q1,8069
24,RN,Rio Grande do Norte,2017,2,95.76006666666667,0.2162662288538336,0.2374364914521577,0.5462972796940088,2612641.59620761,0.0,Northeast,2017Q2,8070
24,RN,Rio Grande do Norte,2017,3,96.98119333333334,0.2180644229328036,0.2396286815184833,0.542306895548713,2608093.35503882,-0.328460526,Northeast,2017Q3,8071
