uf_code,uf,state,year_month,consumption_index,year,month_num,date,mp_shock,share_PH2M_nearest,share_WH2M_nearest,share_Ricardian_nearest,total_weight_nearest,share_PH2M_linear,share_WH2M_linear,share_Ricardian_linear,total_weight_linear,log_y,lag_log_y,lag2_log_y,lag_shock,share_PH2M,share_WH2M,share_Ricardian,t_order,uf_code_str,t_order_str,region
26,PE,Pernambuco,2016.11,95.89027,2016,11,682,0.0,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,,,,,4.5632045168879785,4.574569731415081,4.551647460897307,0.0,0.21841773525619015,0.23308798879251766,0.5484942759512922,24203,26,24203,Northeast
26,PE,Pernambuco,2016.12,97.32666,2016,12,683,0.0,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,,,,,4.57807294960588,4.5632045168879785,4.574569731415081,0.0,0.21797689525750455,0.23363380214922036,0.5483893025932751,24204,26,24204,Northeast
26,PE,Pernambuco,2017.01,101.2917,2017,1,684,-0.224587529,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,,,,,4.618004473050806,4.57807294960588,4.5632045168879785,0.0,0.217536055258819,0.2341796155059231,0.5482843292352579,24205,26,24205,Northeast
26,PE,Pernambuco,2017.02,102.6356,2017,2,685,0.0,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,,,,,4.631184851111035,4.618004473050806,4.57807294960588,-0.224587529,0.2170952152601334,0.2347254288626258,0.5481793558772408,24206,26,24206,Northeast
26,PE,Pernambuco,2017.03,103.78616,2017,3,686,0.0,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,4.642332628508775,4.631184851111035,4.618004473050806,0.0,0.21401309042257116,0.23221554291769944,0.5537713666597295,24207,26,24207,Northeast
26,PE,Pernambuco,2017.04,103.75369,2017,4,687,0.0,0.2201582383024609,0.2300226410877028,0.5498191206098363,7169202.75755203,0.2184294218859883,0.2292555449515818,0.5523150331624297,7171647.440379027,4.642019724743403,4.642332628508775,4.631184851111035,0.0,0.21093096558500887,0.22970565697277306,0.5593633774422181,24208,26,24208,Northeast
26,PE,Pernambuco,2017.05,103.13849,2017,5,688,0.0,0.2149141618391608,0.227695782808136,0.557390055352703,7176618.29546059,0.2166429782556333,0.2284628789442569,0.5548941428001096,7174173.612633592,4.636072648220898,4.642019724743403,4.642332628508775,0.0,0.2078488407474466,0.2271957710278467,0.5649553882247067,24209,26,24209,Northeast
26,PE,Pernambuco,2017.06,104.8853,2017,6,689,0.0,0.2149141618391608,0.227695782808136,0.557390055352703,7176618.29546059,0.2149141618391608,0.227695782808136,0.557390055352703,7176618.29546059,4.652867372122202,4.636072648220898,4.642019724743403,0.0,0.2084978464496636,0.2287752042856176,0.5627269492647189,24210,26,24210,Northeast
26,PE,Pernambuco,2017.07,103.15333,2017,7,690,-0.328460526,0.2149141618391608,0.227695782808136,0.557390055352703,7176618.29546059,0.2150523221524664,0.2260090632379031,0.5589386146096302,7183237.07163865,4.636216522079062,4.652867372122202,4.636072648220898,0.0,0.20914685215188056,0.23035463754338845,0.5604985103047311,24211,26,24211,Northeast
26,PE,Pernambuco,2017.08,101.31272,2017,8,691,0.0,0.2153241859947775,0.2226900344061547,0.5619857795990677,7196261.1150858,0.215190482465772,0.2243223436676703,0.5604871738665574,7189855.84781671,4.618211970992612,4.636216522079062,4.652867372122202,-0.328460526,0.20979585785409754,0.23193407080115935,0.5582700713447432,24212,26,24212,Northeast
