response_type,horizon,spec,n_obs,n_states,n_months,sample_min_date,sample_max_date,outcome_min_date,outcome_max_date,nonzero_shock_months,identifying_nonzero_shock_months,identifying_nonzero_shock_dates,includes_2020_outcomes,with_time_fe,mp_shock_level_identified,interaction_terms_identified,note
cumulative,13,lag2_time_fe,2295,27,85,2012-03,2019-03,2013-04,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,14,lag1,2295,27,85,2012-02,2019-02,2013-04,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,14,lag2,2268,27,84,2012-03,2019-02,2013-05,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,14,lag1_time_fe,2295,27,85,2012-02,2019-02,2013-04,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,14,lag2_time_fe,2268,27,84,2012-03,2019-02,2013-05,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,15,lag1,2268,27,84,2012-02,2019-01,2013-05,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,15,lag2,2241,27,83,2012-03,2019-01,2013-06,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,15,lag1_time_fe,2268,27,84,2012-02,2019-01,2013-05,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,15,lag2_time_fe,2241,27,83,2012-03,2019-01,2013-06,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,16,lag1,2241,27,83,2012-02,2018-12,2013-06,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,16,lag2,2214,27,82,2012-03,2018-12,2013-07,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,16,lag1_time_fe,2241,27,83,2012-02,2018-12,2013-06,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,16,lag2_time_fe,2214,27,82,2012-03,2018-12,2013-07,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,17,lag1,2214,27,82,2012-02,2018-11,2013-07,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,17,lag2,2187,27,81,2012-03,2018-11,2013-08,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,17,lag1_time_fe,2214,27,82,2012-02,2018-11,2013-07,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,17,lag2_time_fe,2187,27,81,2012-03,2018-11,2013-08,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,18,lag1,2187,27,81,2012-02,2018-10,2013-08,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,18,lag2,2160,27,80,2012-03,2018-10,2013-09,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,18,lag1_time_fe,2187,27,81,2012-02,2018-10,2013-08,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,18,lag2_time_fe,2160,27,80,2012-03,2018-10,2013-09,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,19,lag1,2160,27,80,2012-02,2018-09,2013-09,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,19,lag2,2133,27,79,2012-03,2018-09,2013-10,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,19,lag1_time_fe,2160,27,80,2012-02,2018-09,2013-09,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,19,lag2_time_fe,2133,27,79,2012-03,2018-09,2013-10,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,False,True,False,True,Average mp_shock level effect is absorbed by month fixed effects; mp_shock x lagged household-share interactions remain identified from cross-state exposure variation.
cumulative,20,lag1,2133,27,79,2012-02,2018-08,2013-10,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,True,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
cumulative,20,lag2,2106,27,78,2012-03,2018-08,2013-11,2020-04,12,12,2012-03;2013-04;2013-05;2014-01;2014-10;2015-01;2015-07;2016-01;2017-01;2017-07;2017-10;2018-05,True,False,True,True,No month fixed effects; mp_shock is reported as the omitted Ricardian-share baseline level effect alongside share interactions.
