draw,loss,weighted_mse,h0_sign_penalty,persistence_penalty,impact_cP,impact_cW,mae_lp_controls,mae_lp_income,mae_lp_wealth,mae_term_controls_wh2m,mae_term_controls_ph2m,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa,chi_R_neg
419,0.5305421832637578,0.021928947152173594,0.015,0.49361323611158425,-7.139625855402588,-4.784077512788302,0.13918724796399692,0.13647668584893183,0.2691953315599011,0.1931097712562527,0.08526472467174115,0.7067326035573296,0.5388869992838908,0.1201233556561144,0.9443299405147669,0.776803095662923,0.43666760039380254,0.04284206229276062,0.18050865893610557,1.142931376825833
665,0.5306933025121743,0.03512614133950923,0.015,0.48056716117266507,-6.866167556630832,-4.4618408362664965,0.16940196133696417,0.16669139922189907,0.29944630075885487,0.23519567317594176,0.1036082494979866,0.7129412965069687,0.73309449222777,0.07940141166378285,0.9456616549055453,0.6522675005270212,0.6583087510195894,0.03526698896203343,0.17148100992585347,1.5741772564026513
1162,0.5315490987065538,0.020941271195445536,0.015,0.4956078275111082,-5.268186488708118,-3.559869407323214,0.12722287699461937,0.12451231487955428,0.25911465419495566,0.19582233420642292,0.05862341978281585,0.7901776725494043,1.004317338242858,0.12265679150713896,0.8036206273346028,0.6247841697429661,0.4583823922100969,0.01,0.39212887480250797,1.214895963303904
1099,0.5318292562207221,0.022994134805640897,0.015,0.49383512141508124,-7.196229323040157,-4.6571091987169755,0.14333470255488168,0.14062414043981658,0.273123571838779,0.19569740642166028,0.09097199868810309,0.7286223644203804,0.7889190094947528,0.11248863993080699,0.8670037530513096,0.8574802854911362,0.5634412300235099,0.03753357294822233,0.15413610126367905,1.1642961467366029
137,0.5319746200952346,0.013534953949651714,0.015,0.5034396661455829,-7.160914866810292,-5.575469406556692,0.10882590622879407,0.10611534411372896,0.24211579110360396,0.15847194874634657,0.05917986371124155,0.7639060625943221,0.8995525005573656,0.08000021676059609,0.9306511308202713,0.8743288518755833,0.42647747024020416,0.07014345334218199,0.30733362200833014,0.8021610563931701
97,0.5320342164543874,0.01045328722220777,0.015,0.5065809292321797,-6.783548967485184,-4.961106403005623,0.09518051388586961,0.0924699517708045,0.23266996625352357,0.13820962537294085,0.052151402398798376,0.7369284327734424,0.5231559280340683,0.17612226810057258,0.821482752767302,0.7584917376251991,0.42542854779604244,0.048322858267783785,0.28750830230732616,0.6371585381355239
1030,0.5321545959544066,0.016522491676190895,0.015,0.5006321042782157,-7.26360903601897,-5.801088376402267,0.11939019250815838,0.11667963039309329,0.25006964871601295,0.17448735251744618,0.06429303249887058,0.7656791797011443,0.7307811403153803,0.23957613510466613,0.7706884986973849,0.8478727785538472,0.5008185804118549,0.0793641323253908,0.31770276576408485,0.9406029699513363
448,0.5322103027050048,0.015684610676146578,0.015,0.5015256920288582,-7.717623578239837,-6.502316301480076,0.11675507634997989,0.11404451423491477,0.24734560991750285,0.17033997811174573,0.06317017458821401,0.7598320430520956,0.7653970222689258,0.1681259285612803,0.99,0.8174374459231256,0.48558735271389847,0.10431390643961282,0.335027645370055,0.88444725746186
452,0.5352078821793608,0.024003314447325473,0.015,0.49620456773203525,-7.377489083203361,-5.399002160221326,0.14331607048505413,0.14060550836998903,0.2719288977493318,0.20320044263358344,0.08343169833652482,0.716365392473149,0.5556217349106998,0.12017574597275775,0.903569369041731,0.8907201725655016,0.4873505037586785,0.06436771539073712,0.2308962458677261,1.2059544604954535
649,0.5353443730441397,0.014944620944506411,0.015,0.5053997520996333,-7.172265133316921,-5.480606138880917,0.11447295043239222,0.11176238831732713,0.24637616424957187,0.16601506860271423,0.06293083226207022,0.7772225964124215,0.9252668900777689,0.1727925100301692,0.8758330677613922,0.8278003675430897,0.4656986132567658,0.06578469049195976,0.29184333779778,0.8622423060888873
