horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,spec
44,mp_neg_x_ph2m,2.641137076511661,0.16825069546442606,5.114023457558896,1.5034081698992376,0.011528546534001646,0.030448471689241748,0.0019396859720397755,0.058957257406443725,1453,driscoll_kraay,cumulative,twfe_directional_dummies
45,mp_neg_x_ph2m,1.9055919253816294,0.013952561404349417,3.7972312893589093,1.1500350748432215,0.011528546534001646,0.021968705186579906,1.6085275341855761e-4,0.04377655761974125,1426,driscoll_kraay,cumulative,twfe_directional_dummies
46,mp_neg_x_ph2m,3.8555532484959634,1.4312831406500282,6.279823356341899,1.4738515744644183,0.011528546534001646,0.04444892503960692,0.016500614290315872,0.07239723578889798,1399,driscoll_kraay,cumulative,twfe_directional_dummies
47,mp_neg_x_ph2m,1.892311046446007,-0.38929630515287705,4.173918398044891,1.38711877714466,0.011528546534001646,0.02181559595575814,-0.004488020569469848,0.04811921248098613,1372,driscoll_kraay,cumulative,twfe_directional_dummies
48,mp_neg_x_ph2m,2.7127925044601757,0.3789676012733372,5.046617407647014,1.4188647943782622,0.011528546534001646,0.031274554624760004,0.004368945626158649,0.058180163623361356,1345,driscoll_kraay,cumulative,twfe_directional_dummies
0,mp_pos_x_wh2m,0.0470240841081193,-1.051278450458439,1.1453266186746776,0.6677205293957513,0.009144231392842464,4.2999910612112895e-4,-0.00961313340930084,0.010473131621543097,2641,driscoll_kraay,cumulative,twfe_directional_dummies
1,mp_pos_x_wh2m,-1.1361769705734492,-2.6122706470088,0.3399167058619017,0.8974012351306324,0.009144231392842464,-0.010389465122142384,-0.023887207256978765,0.0031082770126939995,2614,driscoll_kraay,cumulative,twfe_directional_dummies
2,mp_pos_x_wh2m,-1.4026255423387022,-3.4035055911445316,0.598254506467127,1.2164486955074585,0.009144231392842464,-0.012825932516656247,-0.031122442672258676,0.005470577638946177,2587,driscoll_kraay,cumulative,twfe_directional_dummies
3,mp_pos_x_wh2m,-1.7916584028594118,-3.5557843235090996,-0.027532482209724263,1.0725124058116176,0.009144231392842464,-0.016383339012677023,-0.032514914637209014,-2.517633881450373e-4,2560,driscoll_kraay,cumulative,twfe_directional_dummies
4,mp_pos_x_wh2m,-1.3891879516779777,-2.764198392817727,-0.014177510538228466,0.8359469916409265,0.009144231392842464,-0.012703056078292285,-0.02527646971964855,-1.296424369360236e-4,2533,driscoll_kraay,cumulative,twfe_directional_dummies
5,mp_pos_x_wh2m,-1.7330544468492601,-3.4922478374295456,0.02613894373102532,1.0695136404573142,0.009144231392842464,-0.015847450878384236,-0.03193392230660946,2.3902054984098448e-4,2506,driscoll_kraay,cumulative,twfe_directional_dummies
6,mp_pos_x_wh2m,-1.7627731595099625,-3.2910670762178036,-0.2344792428021214,0.9291367278317286,0.009144231392842464,-0.016119205663651097,-0.030094278874301102,-0.002144132453001089,2479,driscoll_kraay,cumulative,twfe_directional_dummies
7,mp_pos_x_wh2m,-1.5796635279840097,-3.284843710151101,0.12551665418308144,1.0366759413890385,0.009144231392842464,-0.014444808822719661,-0.03003737097494481,0.0011477533295054848,2452,driscoll_kraay,cumulative,twfe_directional_dummies
8,mp_pos_x_wh2m,-1.7334818560812917,-3.5449603712961317,0.07799665913354836,1.1013007391862502,0.009144231392842464,-0.01585135920730137,-0.032415937913588565,7.132194989858258e-4,2425,driscoll_kraay,cumulative,twfe_directional_dummies
9,mp_pos_x_wh2m,-2.378618761000954,-4.276902470343267,-0.4803350516586409,1.1540745500014749,0.009144231392842464,-0.021750640345948972,-0.039108985833438394,-0.0043922948584595506,2398,driscoll_kraay,cumulative,twfe_directional_dummies
10,mp_pos_x_wh2m,-2.85953207599869,-4.906743180542291,-0.8123209714550899,1.2446159773729213,0.009144231392842464,-0.026148222978187207,-0.044868395028130496,-0.00742805092824392,2371,driscoll_kraay,cumulative,twfe_directional_dummies
11,mp_pos_x_wh2m,-2.1147173271063484,-4.243868424686773,0.014433770474076013,1.2944319559464614,0.009144231392842464,-0.01933746456951378,-0.038806914876113686,1.3198573708612853e-4,2344,driscoll_kraay,cumulative,twfe_directional_dummies
12,mp_pos_x_wh2m,-2.028844613923788,-3.9190043845873297,-0.13868484326024655,1.1491355459796833,0.009144231392842464,-0.018552224609841253,-0.03583628292223072,-0.001268166297451783,2317,driscoll_kraay,cumulative,twfe_directional_dummies
13,mp_pos_x_wh2m,-3.0250684339264176,-5.014288822367177,-1.0358480454856587,1.209360125330743,0.009144231392842464,-0.027661925739006738,-0.04585181726226901,-0.009472034215744468,2290,driscoll_kraay,cumulative,twfe_directional_dummies
14,mp_pos_x_wh2m,-2.7682603029391437,-4.774348229949914,-0.7621723759283734,1.2196148606419168,0.009144231392842464,-0.025313612765695707,-0.043657744964669856,-0.00696948056672156,2263,driscoll_kraay,cumulative,twfe_directional_dummies
15,mp_pos_x_wh2m,-3.0364021538151085,-5.203775654705584,-0.8690286529246327,1.317669527170894,0.009144231392842464,-0.02776556389621059,-0.04758452870306815,-0.007946599089353025,2236,driscoll_kraay,cumulative,twfe_directional_dummies
