horizon,term,estimate,ci_low,ci_high,se,shock_sd,estimate_1sd,ci_low_1sd,ci_high_1sd,nobs,se_method,response_type,state_regime,switching_var,logistic_gamma,spec
22,mp_neg_x_ph2m,7.695934424434732,-3.0259936576771036,18.41786250654657,6.518469428786546,0.01134040072148436,0.08727498029935596,-0.034315980658728526,0.20886594125744046,1917,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
23,mp_neg_x_ph2m,1.3218191219892788,-9.593927538952236,12.237565782930794,6.636302757937479,0.01134040072148436,0.014989958524679041,-0.10879898278460262,0.1387788998339607,1890,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
24,mp_neg_x_ph2m,-4.234508476509182,-17.982206143856807,9.513189190838444,8.358006719921486,0.01134040072148436,-0.04802102298213637,-0.20392542352767423,0.10788337756340151,1863,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
25,mp_neg_x_ph2m,6.242832539100815,-7.982598564029884,20.468263642231513,8.648448026038487,0.01134040072148436,0.07079622263052492,-0.09052586651484452,0.23211831177589434,1836,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
26,mp_neg_x_ph2m,4.139212374473844,-11.831023741015986,20.109448489963675,9.709214153656122,0.01134040072148436,0.04694032699786017,-0.13416855016851628,0.22804920416423666,1809,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
27,mp_neg_x_ph2m,7.417717759557144,-5.188397318806214,20.0238328379205,7.663973785756974,0.01134040072148436,0.08411989183224919,-0.05883850469753751,0.2270782883620359,1782,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
28,mp_neg_x_ph2m,8.440347976243938,-5.830337580988644,22.71103353347652,8.675960780584164,0.01134040072148436,0.09571692827937582,-0.066118364509941,0.25755222106869263,1755,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
29,mp_neg_x_ph2m,-16.565414457627355,-38.02293405768745,4.892105142432744,13.045245636737235,0.01134040072148436,-0.18785843806696473,-0.431195308820751,0.055478432686821635,1728,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
30,mp_neg_x_ph2m,-25.72610563284762,-67.92350346499089,16.471292199295647,25.654196300950385,0.01134040072148436,-0.291744346879728,-0.7702797477001281,0.18679105394067208,1701,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
31,mp_neg_x_ph2m,11.57244738577444,-5.920985051310568,29.06587982285945,10.635251763712787,0.01134040072148436,0.13123619068297626,-0.06714634314778048,0.32961872451373303,1674,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
32,mp_neg_x_ph2m,-27.07746951792178,-42.26970360168776,-11.885235434155804,9.236222503228365,0.01134040072148436,-0.3070693548570109,-0.47935537722150995,-0.13478333249251198,1647,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
33,mp_neg_x_ph2m,-40.8494774048061,-56.30955209602513,-25.389402713587078,9.399058030392844,0.01134040072148436,-0.4632494430337222,-0.6385728852162246,-0.2879260008512199,1620,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
34,mp_neg_x_ph2m,4.823296053796569,-18.309314856703296,27.95590696429643,14.063628842995127,0.01134040072148436,0.05469811004840728,-0.20763496741084236,0.3170311875076569,1593,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
35,mp_neg_x_ph2m,-6.57604414432713,-33.786649233743404,20.634560945089145,16.542873264563788,0.01134040072148436,-0.0745749757588404,-0.3831541413468827,0.23400418982920196,1566,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
36,mp_neg_x_ph2m,19.82570561483438,-2.7802854762845186,42.43169670595328,13.743466725982328,0.01134040072148436,0.22483144625840434,-0.03152955142118945,0.48119244393799815,1539,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
37,mp_neg_x_ph2m,-10.599451890551716,-38.89917054539804,17.70026676429461,17.205007297394772,0.01134040072148436,-0.12020203186695146,-0.44113218171817514,0.20072811798427226,1512,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
38,mp_neg_x_ph2m,-53.68276825809287,-80.37742748308212,-26.98810903310363,16.22920045138875,0.01134040072148436,-0.6087841038853541,-0.9115122366202013,-0.306055971150507,1485,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
39,mp_neg_x_ph2m,-97.14348043216071,-140.35701736894677,-53.929943495374665,26.271965011790673,0.01134040072148436,-1.1016459955803772,-1.5917048210361968,-0.6115871701245577,1458,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
40,mp_neg_x_ph2m,-31.640895903145243,-50.388727503583794,-12.893064302706687,11.397872305017982,0.01134040072148436,-0.3588204387284399,-0.5714283617363205,-0.14621251572055916,1431,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
41,mp_neg_x_ph2m,-27.74303662457607,-47.056988493070925,-8.429084756081217,11.74204898966653,0.01134040072148436,-0.3146171525535095,-0.5336451062577028,-0.09558919884931626,1404,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
42,mp_neg_x_ph2m,-8.582589718699248,-27.596062570258816,10.430883132860322,11.559370718474591,0.01134040072148436,-0.0973300066381412,-0.31295040788189066,0.11829039460560824,1377,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
43,mp_neg_x_ph2m,-21.505127639268174,-41.022431826511806,-1.9878234520245393,11.865678421134952,0.01134040072148436,-0.24387676499597008,-0.4652108154824175,-0.022542714509522617,1350,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
44,mp_neg_x_ph2m,2.506361236215052,-13.778273069295345,18.79099554172545,9.900354681219818,0.01134040072148436,0.02842314077147361,-0.15625113785584546,0.2130974193987927,1323,driscoll_kraay,cumulative,high_inflation_s2,infl_yoy,10,twfe_directional_dummies_smooth_logistic
