horizon,agent_type,estimate,conf_low,conf_high,uf_code,region
5,Ricardian,16.644156112284943,-6.0664155278442315,39.35472775241412,35,Southeast
5,PH2M,2.115720918356013,-24.21625210365623,28.44769394036826,35,Southeast
5,WH2M,14.478624709776447,-10.507111317372203,39.4643607369251,35,Southeast
6,Ricardian,41.566507028327216,19.50038179242259,63.632632264231844,35,Southeast
6,PH2M,13.391617725329674,-12.563915499308315,39.34715094996766,35,Southeast
6,WH2M,28.1547233287707,4.298280955555004,52.0111657019864,35,Southeast
7,Ricardian,29.37851328909575,9.107897183731758,49.64912939445974,35,Southeast
7,PH2M,12.6688840888613,-10.722652679364145,36.06042085708675,35,Southeast
7,WH2M,16.750532094883493,-5.463793647060882,38.96485783682787,35,Southeast
8,Ricardian,27.646704520371685,7.519030447887676,47.7743785928557,35,Southeast
8,PH2M,8.516021793629331,-14.455208550065485,31.48725213732415,35,Southeast
8,WH2M,19.139459838047102,-3.04124700798522,41.320166684079425,35,Southeast
9,Ricardian,16.29993153887709,2.061636278036234,30.538226799717947,35,Southeast
9,PH2M,7.085117028326749,-9.449251020951557,23.619485077605056,35,Southeast
9,WH2M,9.170421876368849,-6.265780614001891,24.606624366739588,35,Southeast
10,Ricardian,19.69607145489654,10.02437391889156,29.367768990901517,35,Southeast
10,PH2M,7.096735161532164,-4.298289129797876,18.491759452862205,35,Southeast
10,WH2M,12.57066067809226,2.1687260375164623,22.972595318668056,35,Southeast
11,Ricardian,23.26549485896166,13.24042776407953,33.29056195384379,35,Southeast
11,PH2M,4.575787370457121,-7.3077623570833445,16.459337097997587,35,Southeast
11,WH2M,18.696188183517705,7.9737143494028935,29.418662017632517,35,Southeast
12,Ricardian,9.467563828234653,-9.064853959238167,27.999981615707473,35,Southeast
12,PH2M,-0.39255940513934107,-21.6616765150747,20.876557704796017,35,Southeast
12,WH2M,9.85608901641926,-10.582526307665878,30.294704340504396,35,Southeast
13,Ricardian,28.33657706633828,16.01180103835769,40.66135309431887,35,Southeast
13,PH2M,10.41917452279369,-3.3481284781113683,24.18647752369875,35,Southeast
13,WH2M,17.910171154964207,3.8509439366743745,31.969398373254037,35,Southeast
