region,horizon,coefficient,estimate,std_error,conf_low,conf_high
South,3,ph2m_diff,-40.461489199901486,12.371069255924759,-64.9532838162258,-15.96969458357717
South,3,wh2m_diff,-2.177454397780466,5.00228742009854,-12.080801761728114,7.725892966167184
South,4,ricardian,1.7911496374385174,3.3769032365970992,-4.896038130474807,8.47833740535184
South,4,ph2m_diff,-10.939901068828078,13.481421493915095,-37.63678593398034,15.756983796324185
South,4,wh2m_diff,0.4976690897637607,7.872412939363952,-15.091851788876157,16.087189968403678
South,5,ricardian,2.8216461203952385,4.052670952330468,-5.205915063593714,10.84920730438419
South,5,ph2m_diff,-21.122930125201663,14.139928803118249,-49.13140772909066,6.885547478687336
South,5,wh2m_diff,3.699774100613959,6.16566752491808,-8.513226628683247,15.912774829911166
South,6,ricardian,4.922034351625973,2.4783975550425366,0.01140729000634444,9.832661413245601
South,6,ph2m_diff,-25.507337516158888,10.022585567676483,-45.36580607213911,-5.648868960178671
South,6,wh2m_diff,-1.191790054973001,5.1873727792712145,-11.469904273077551,9.086324163131549
South,7,ricardian,-3.70964210092993,1.3678777465306635,-6.420731324487706,-0.9985528773721541
South,7,ph2m_diff,1.5403988508155453,8.318941441627173,-14.947472635511058,18.02827033714215
South,7,wh2m_diff,12.6870197917465,1.226345796583408,10.256442291743197,15.117597291749805
South,8,ricardian,-5.523710191227078,0.9353843676422035,-7.378200677212765,-3.6692197052413915
South,8,ph2m_diff,14.597952040365081,3.8131148796598104,7.038080921154256,22.157823159575905
South,8,wh2m_diff,10.383201989588612,2.1262239566648637,6.167756195204645,14.598647783972577
South,9,ricardian,-5.449678037846934,0.741834856115646,-6.92093250932427,-3.9784235663695973
South,9,ph2m_diff,14.314154065092014,7.927591274043095,-1.4083534631365815,30.03666159332061
South,9,wh2m_diff,10.455280973425255,2.686013368306516,5.128206967680762,15.78235497916975
South,10,ricardian,-4.067252526685723,0.9762533633250465,-6.004111394385441,-2.130393658986006
South,10,ph2m_diff,3.4030278327984207,4.034392257211441,-4.601091500061022,11.407147165657863
South,10,wh2m_diff,13.002206211037162,3.1536822153939683,6.745390517221271,19.259021904853054
South,11,ricardian,-5.326696303404109,1.718820997781783,-8.738080190309304,-1.9153124164989133
South,11,ph2m_diff,9.976568426710658,7.342624895636451,-4.596509449862518,24.549646303283836
South,11,wh2m_diff,13.22644186087746,1.417796878987596,10.412507522092515,16.040376199662404
