level,frequency,group,outcome,horizon,n_obs,estimate,std_error,ci_low,ci_high,p_value,shock_sd,irf_pos_1sd,irf_neg_1sd,inference,model_id
state,quarterly,33,consumption_index,1,22,-0.028181944860289347,0.06251694866709531,-0.15071516424779616,0.09435127452721745,0.6521417212992826,0.1134395615862862,-0.003196947469600115,0.003196947469600115,newey-west,state_33_consumption_index
state,quarterly,35,consumption_index,1,22,-0.009549105502443608,0.03579837794933192,-0.07971392628313416,0.06061571527824695,0.7896640588992521,0.1134395615862862,-0.001083246341738396,0.001083246341738396,newey-west,state_35_consumption_index
state,quarterly,41,consumption_index,1,22,-0.0012343703702382934,0.021436492757066543,-0.04324989617408871,0.04078115543361213,0.954081058492394,0.1134395615862862,-0.00014002643363493378,0.00014002643363493378,newey-west,state_41_consumption_index
state,quarterly,42,consumption_index,1,22,-0.12443331557395386,0.0731068271773759,-0.26772269684161065,0.01885606569370292,0.0887412771382774,0.1134395615862862,-0.014115660765437323,0.014115660765437323,newey-west,state_42_consumption_index
state,quarterly,43,consumption_index,1,22,-0.042928668820323375,0.045594307960135486,-0.13229351242218892,0.04643617478154218,0.34643040155650784,0.1134395615862862,-0.004869809370460358,0.004869809370460358,newey-west,state_43_consumption_index
state,quarterly,50,consumption_index,1,22,0.08396550670337422,0.03946028811255584,0.006623342002764765,0.16130767140398367,0.033349663838475374,0.1134395615862862,0.009525010268801145,-0.009525010268801145,newey-west,state_50_consumption_index
state,quarterly,51,consumption_index,1,22,-0.08070895852127094,0.06766703309359738,-0.2133363433847218,0.05191842634217991,0.23297248006495375,0.1134395615862862,-0.009155588870738732,0.009155588870738732,newey-west,state_51_consumption_index
state,quarterly,52,consumption_index,1,22,-0.0009212090413119774,0.09162060862714777,-0.1804976019505216,0.17865518386789764,0.9919777209726395,0.1134395615862862,-0.00010450154977575373,0.00010450154977575373,newey-west,state_52_consumption_index
state,quarterly,53,consumption_index,1,22,0.03975497606943959,0.04225712786058484,-0.043068994537306685,0.12257894667618587,0.34681378740330526,0.1134395615862862,0.0045097870561905265,-0.0045097870561905265,newey-west,state_53_consumption_index
state,quarterly,11,consumption_index,2,21,-0.06806159415470969,0.20583711181602857,-0.47150233331412567,0.3353791450047063,0.740903173827056,0.1134395615862862,-0.0077208774017740065,0.0077208774017740065,newey-west,state_11_consumption_index
state,quarterly,12,consumption_index,2,21,-0.21044607354501121,0.05396942979506435,-0.31622615594333736,-0.1046659911466851,9.644848184953148e-05,0.1134395615862862,-0.023872910320501414,0.023872910320501414,newey-west,state_12_consumption_index
state,quarterly,13,consumption_index,2,21,0.043222881273675934,0.16000733041966392,-0.27039148634886534,0.35683724889621715,0.787059756953763,0.1134395615862862,0.004903184702181897,-0.004903184702181897,newey-west,state_13_consumption_index
