draw,loss,weighted_mse,h0_sign_penalty,persistence_penalty,impact_cP,impact_cW,mae_lp_controls,mae_lp_income,mae_lp_wealth,mae_term_controls_wh2m,mae_term_controls_ph2m,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa,theta_wP_c,theta_wP_d,theta_wP_tp,theta_wW_c,theta_wW_d,theta_wW_b
47,0.46339755778550834,0.010687864691027976,0.09,0.36270969309448037,-5.60197254950459,-3.5550094174820166,0.09139175472747704,0.08868119261241195,0.4710258887081525,0.12529063916921696,0.05749287028573713,0.6389413924329844,0.849751087534712,0.1477267146404132,0.8491607359999103,0.8180944036929679,0.654596151696029,0.03834349864568238,0.151521243873953,0.9894623041135324,-0.5414538568755075,-0.20540456319832942,0.9510473381889274,-1.0233913296093102,-0.9693950035924068
884,0.46343511745271243,0.008618566911007751,0.09,0.3648165505417047,-4.310680658446045,-2.746305138184468,0.08102568288822773,0.07842829318674494,0.3335510226258622,0.12236997243847944,0.03968139333797603,0.697699035398734,1.030470916652286,0.08931038323245613,0.818406009971865,0.8811630549893572,0.3188997832893791,0.01,0.3309371372759743,1.095233350337493,0.2836317764212655,-0.26545654486777326,0.16935632103458842,-0.7114723281706005,-0.16331333965877026
704,0.46353679991662833,0.011190429091685503,0.06,0.39234637082494284,-5.992208810392774,-3.957628323068458,0.09919893686626535,0.09648837475120026,0.29097702431296457,0.137132516899477,0.0612653568330537,0.620988758210591,0.48448279058263555,0.13493544130931132,0.8931083438788561,0.98,0.32841106131811154,0.04549644605005585,0.17002915099360966,0.7673284744180295,-0.20825590926911072,0.5069280157398829,0.7302000764692473,-0.11479176003369534,-0.2581907774833317
173,0.46357442939895865,0.012278037479521253,0.06,0.39129639191943744,-6.825201231264546,-4.580805671416421,0.10603116811289805,0.10332060599783294,0.28635980626419855,0.13934858268837574,0.07271375353742036,0.589520764518802,0.33245554606781624,0.19160331519236634,0.9793706447116418,0.7240117402499846,0.41940905759186387,0.07218447427591926,0.10769678067744023,-0.11671621070333371,-0.1684400405104271,0.9299343396774755,0.7385619470999563,0.06056207504109277,0.6802735635384072
484,0.4640568390930958,0.01084514185580216,0.06,0.39321169723729366,-4.878335095419693,-3.245698776597715,0.09010229697659829,0.08739173486153318,0.393606207084181,0.13429101692108325,0.04591357703211331,0.7046833642137754,0.868471592815574,0.12914137266255749,0.8784010224490746,0.8709924882381165,0.48164355607430587,0.02125994796540224,0.3096547141734516,0.9616086066228609,0.2933460070546827,-0.27231591501251184,0.2745272171914265,1.0410443775085652,0.9279668464581445
502,0.464073810459521,0.01002809693111692,0.09,0.3640457135284041,-5.363743969571823,-3.600516819942926,0.08826690620447665,0.08555634408941154,0.42811887010812166,0.12541216412680412,0.05112164828214917,0.6438516837149669,0.7194040921252416,0.156121052028776,0.8145475696006409,0.7091579537052264,0.408303670764725,0.042518401206066446,0.21575532731641844,1.42422443505814,-0.9630799208750505,-0.9478312183166547,0.7996667130931225,-0.105391682483914,-0.8727863237148622
295,0.4645329579104481,0.010567666327305478,0.06,0.3939652915831426,-5.369196943560663,-3.4250975377039334,0.09500766098930655,0.09229709887424145,0.2477335031316497,0.13570198211507095,0.054313339863542136,0.6769703555046402,0.8395161878870318,0.08512100892207318,0.8643877199667485,0.9149482006076545,0.6242688555642758,0.02457048192383147,0.21764989896509485,0.6126420385253968,0.43958373987929444,-0.5999908684862383,1.2140275834215715,0.44810808638057675,-0.05294727017586007
1132,0.46472069029095114,0.011743517942256513,0.06,0.3929771723486946,-6.2373307275495025,-4.483900047258036,0.09894557873112841,0.09623501661606332,0.33147071361257296,0.13893100951576628,0.05896014794649054,0.6749926013243668,0.8148811243483306,0.1421496449463394,0.9603936964537997,0.7059692544549313,0.3756271961633927,0.06886083087498791,0.21315865028328118,0.6378976507033474,-1.1140589035510493,0.17450760084815248,1.9247742830897008,-0.6175733497802279,0.613022167032068
227,0.4648598113703739,0.011074133320762411,0.06,0.3937856780496115,-6.075408377899479,-4.848445220330537,0.09581598333412591,0.09310542121906082,0.2654606368005747,0.1398677819464489,0.05176418472180293,0.6767990247024203,0.786812313092894,0.0813786997418629,0.8637508854936804,0.7063936846009736,0.3484804210387207,0.08831154159888832,0.3157808740342099,1.585999221986878,0.023587839614577784,0.4660846193190879,-0.05677364278552699,0.5178525108272131,0.10627189800301812
61,0.46500581723430146,0.00992760813739823,0.09,0.3650782090969032,-5.443220452739251,-3.95595053453321,0.08758521173969636,0.08487464962463127,0.4200594911986971,0.12673532481768496,0.04843509866170777,0.6716506762790042,0.9470944569203437,0.10991829419181905,0.8713496143002792,0.8926773387089953,0.503963412440822,0.06002873292242502,0.26923164697537183,1.2019498759632607,0.2549795384616895,-1.162180159623249,1.3999436011657203,-0.5892116518981804,-0.8653794813356467
128,0.46532244231829156,0.010598108163958517,0.09,0.36472433415433303,-6.48951279241146,-4.6076125660492036,0.09584657136873813,0.09313600925367302,0.3561208202611649,0.129594434225672,0.06209870851180426,0.64886818176063,0.8753790885579674,0.19731504489063517,0.9648864339722897,0.6376146737713716,0.5384479191186453,0.08655854779338545,0.15384151264149173,0.9952572907760582,0.16430543898507374,-0.18045875090804095,-0.111297113240721,-0.1954188660442372,-0.1963832581530144
559,0.4653413593631473,0.0110581083265976,0.06,0.3942832510365497,-6.300671352735112,-4.823017304409212,0.09818044586947297,0.09546988375440786,0.19950821703297186,0.1402086286096592,0.05615226312928673,0.6312722402992774,0.5528274697235119,0.08013655409514844,0.9843880280496908,0.7113203386248236,0.5716932302025824,0.08492581304261529,0.2581841857790035,0.17391339943571904,-0.8184923152582142,0.5158584388776478,0.2436435887200855,0.23521596663594738,0.0686094658923578
680,0.4661912161701279,0.01015601702136509,0.06,0.3960351991487628,-4.808771861433053,-3.0014116459582536,0.0910339875952281,0.08833899406675777,0.278109574924651,0.13455984485583816,0.04750813033461803,0.6513405820700162,0.4556111428790116,0.15054584786628636,0.8316344574164828,0.8743597597919791,0.49817922191939096,0.01,0.27582210633037196,-0.011087974753396734,0.4160172057933968,-0.14922859755035764,2.0,0.6427877066235642,-0.6364155037390947
474,0.46627507944260205,0.011829267695152515,0.06,0.3944458117474495,-6.832772328407937,-5.227784013868651,0.10195371888334923,0.09924315676828413,0.24042823043450984,0.1419926687185069,0.06191476904819155,0.6840141829404961,0.8547924491572366,0.1761254109575584,0.8136965807391154,0.5413401858455729,0.7144706116701955,0.10135910264839382,0.21670641780161182,0.4678929975072186,-1.7566125092159601,0.6214196724605845,0.01988886863474848,-0.18789554285343346,0.8770119628318054
491,0.4664965950810482,0.011608568468524384,0.06,0.3948880266125238,-5.814836475186911,-4.924876032497465,0.09355296499115279,0.0908424028760877,0.3776106246479971,0.14020368206284195,0.04690224791946365,0.7029612506249919,0.8612404118192243,0.11339587190497778,0.7442750277762964,0.4875874514362207,0.6622338254362162,0.09428930448366904,0.398493191958327,0.9894830510306936,-0.7755808811987347,-0.25175030559060085,1.0068547092167877,-0.6042229345710656,0.98914483378432
743,0.46671541393787047,0.00932422478524728,0.09,0.3673911891526232,-4.340278812398904,-3.1222749321326413,0.08048879833402034,0.0778568979082648,0.4365327345458613,0.12421915243875391,0.036758444229286764,0.719840431132815,1.1061420021146082,0.1291093568633742,0.9234177492801733,0.723418576124211,0.32526098670556614,0.028026981265847697,0.4191679995538595,1.3798125689721736,0.16472090226662997,-0.5858240341111197,1.5467504805903074,-0.8146159645882749,-0.9402338698094286
1138,0.46721206348566957,0.010540958622342238,0.09,0.3666711048633273,-5.792923765559303,-4.233232338900412,0.09027637115770143,0.08756580904263633,0.4506824317556355,0.12838972778559501,0.05216301452980784,0.6781758052319108,0.8637730926696165,0.22716024417276798,0.7747583228177776,0.98,0.5259776441944568,0.07088806887075778,0.23816460611349563,0.9978909250859038,0.11550780727866462,-0.6294575954022211,0.5165911370454823,0.7107405245347521,-0.9314081072155327
717,0.46733309524094113,0.010931226752895203,0.06,0.3964018684880459,-5.869552532111204,-4.625800403479234,0.09516400340555863,0.09245344129049353,0.24682323117745403,0.1399991970797445,0.05032880973137273,0.7064629016030272,0.9114340903216755,0.13364080823301397,0.9858390280065326,0.6392558174649344,0.284524774586868,0.07770871459841784,0.3280073644970281,0.8840499959009,0.24023664002743456,0.44712418657884395,0.5116820764889521,-0.42410902502957953,0.11383570751918196
