draw,loss,mse,sign_penalty,persistence_penalty,impact_ph_model,impact_wh_model,r_R,r_pi,r_Y,rho_A,rho_j,rho_u,phi,kappa
402,0.05563469993498714,0.007983467049986558,0.04,0.007651232885000584,-0.03480942668044456,-0.028850536713228375,0.6175262306874727,0.6405436215777646,0.1890259878640445,0.8713904420991154,0.7421740951614715,0.6675433972601322,0.03842556141487549,0.3378498532546174
59,0.05565354938736577,0.007968069805170704,0.04,0.007685479582195062,-0.03302879144786364,-0.024361726516481528,0.5508942311303524,0.37819337545899295,0.10358030358749443,0.8799456954732248,0.96,0.6592630452666509,0.01363295580228649,0.29017229917107695
369,0.055681868720785725,0.00823145350027483,0.04,0.007450415220510898,-0.04267632080364772,-0.039052694200336545,0.49330433823418895,0.2,0.2118857139375352,0.8725541621505241,0.7243269584788767,0.7365430822548177,0.09782304593945876,0.2698069361476132
92,0.05578193153572196,0.008242219324275688,0.04,0.007539712211446265,-0.0399600901660866,-0.03430681635173107,0.6502626114202489,1.1208195136154546,0.14627701021615147,0.952484499247548,0.685071779352076,0.33878683396104425,0.06692735849211845,0.2719379495155998
440,0.05588699596062032,0.008796123941725593,0.04,0.0070908720188947215,-0.05409448842021719,-0.0497587081836232,0.6428154122411914,1.3559645170679528,0.32284428919843167,0.9042709299507202,0.6186500458222975,0.4873708114240516,0.17366508440501913,0.15240810644719327
370,0.055995391965473575,0.009142036923879947,0.04,0.006853355041593627,-0.05933644777152488,-0.05303172628377136,0.5906092351218418,1.6228829612275417,0.2738633667296563,0.865312292992732,0.5560193894747325,0.6671556152172944,0.20911101374811514,0.08204594202969913
419,0.05601429007509452,0.008397081514528051,0.04,0.00761720856056647,-0.03640756910724381,-0.02454937114305978,0.5670865010560842,0.5855247995403238,0.13323744561793516,0.8807542925536501,0.7751201614124322,0.5702707573958605,0.01,0.16570000718774036
5,0.056016262431474874,0.008677732806311343,0.04,0.007338529625163528,-0.04654623724959341,-0.038583381447577225,0.6598329210587188,1.53228511369254,0.2540848326407197,0.7186993237251755,0.8660654887813126,0.7438114859974415,0.09137045959633663,0.15091483637558545
121,0.05613510926000279,0.008361773136422073,0.04,0.0077733361235807225,-0.03426323720771592,-0.024651890051643643,0.6881797966321208,1.3459610499720596,0.12988941645704247,0.9279096744986787,0.96,0.5188679047318524,0.01211139752988772,0.2613538372099264
22,0.056226688535591235,0.008646220200691009,0.04,0.007580468334900225,-0.04349291990252611,-0.04006956147561361,0.6195861935787849,0.7497053203039704,0.22095565636924103,0.9109434263684232,0.7880412567281239,0.5411589641027662,0.09936686583651798,0.2820877642525896
112,0.05640376587921977,0.008608350414774951,0.04,0.007795415464444815,-0.035998534488532026,-0.02621506793193267,0.6355368186785302,0.7832080001445876,0.20170896901003527,0.8704963824244175,0.5478286557087069,0.25462502778410595,0.018511211878310764,0.23312974675446813
96,0.05658345622329244,0.00882579548992908,0.04,0.007757660733363353,-0.04099038666369433,-0.03693686161762956,0.6504385256292914,0.9462455653976163,0.16684248118707914,0.9302701206955573,0.9259662589180128,0.5914934445720239,0.07797253813230388,0.3083917625191159
246,0.05664158897225409,0.008843788106758049,0.04,0.00779780086549604,-0.038750829395860706,-0.030310114121831513,0.5765191871960257,0.5116586175125665,0.14240143148463108,0.8299222223567504,0.891532734626613,0.3268116916302517,0.039175360064296366,0.23134541334820646
386,0.056705908765075266,0.008788809508679192,0.04,0.007917099256396073,-0.03526189083089551,-0.02611881547605523,0.6569643118259381,0.9474052647551878,0.14196643442257353,0.7925369144081698,0.8776864372351522,0.6825377927557623,0.01759873193721316,0.2677038329894725
443,0.05671608255211912,0.009076651105568587,0.04,0.007639431446550535,-0.045916693321427844,-0.04224333656782286,0.6504726226600605,1.1516434567543836,0.15216006292010947,0.809466560184145,0.6447322789144803,0.4838483983840759,0.10901285095407104,0.25650090417399246
81,0.05683448996361791,0.009024326244688163,0.04,0.007810163718929743,-0.040647465165214086,-0.033628784898613893,0.6338032731779523,0.8669136090332255,0.16021162481647855,0.7977826556043595,0.8704790305548448,0.7955866374002083,0.05650010056612086,0.24701518145635076
29,0.05688437005782559,0.00890381617169255,0.04,0.007980553886133038,-0.03460496948804664,-0.02473288538974187,0.6035586110412829,0.5298763799785159,0.1481788482068036,0.98,0.7265083491554443,0.4058029126302373,0.01,0.2580187136723375
23,0.05717756495023287,0.009015328190266115,0.04,0.00816223675996675,-0.0320780301615443,-0.024364782052113204,0.6944958872559651,1.018611148497248,0.15469637085538893,0.98,0.8184700312719682,0.323676459432248,0.01,0.37227512639723537
424,0.05733465341282506,0.009259100993439413,0.04,0.008075552419385644,-0.035673165794505836,-0.025811791606717777,0.6023692319569669,0.5318405615414409,0.1295230786856558,0.8583958404115805,0.8630213626024101,0.45979218763351754,0.013522519003334517,0.25074660020842837
166,0.057523574459063434,0.00929445824999701,0.04,0.008229116209066424,-0.033033127399119594,-0.02475278436676439,0.6716701545348049,0.8163387579718561,0.16257052014413975,0.98,0.7795434520775227,0.5541503892256561,0.01,0.34326272115417256
245,0.05761422081804003,0.010094110329040923,0.04,0.007520110488999112,-0.05587420406609577,-0.05135301011831134,0.5222871778766417,0.34144366512107904,0.24574246158234114,0.7290996601446316,0.439896907325291,0.4802444943068833,0.1682918427252307,0.14979284014531608
224,0.05763947240927618,0.009547716909168367,0.04,0.008091755500107808,-0.036842444261796954,-0.025557425315641986,0.6136362597854454,0.7606720607846906,0.06540557174940613,0.98,0.8815668289707999,0.513743221542234,0.01,0.20631146001114772
39,0.05771665962673256,0.009568609103151259,0.04,0.008148050523581297,-0.038987601132232104,-0.03586897036295218,0.6390295686751788,0.6036766223615075,0.20488256865466,0.9398536185519591,0.96,0.6695473120127879,0.06659747646353799,0.37813454181523753
327,0.05783535461560528,0.009632952529976625,0.04,0.008202402085628651,-0.03597385489618817,-0.02597343945115728,0.6830171657039247,1.106459291932493,0.1249406649124269,0.9140019373238043,0.9188386215220382,0.37076101219692864,0.012470390663877083,0.2558872661815859
42,0.057856919263049256,0.009683704086008237,0.04,0.00817321517704102,-0.0365130616004042,-0.025627992652190325,0.6852206216195539,1.1352337887836956,0.1667219475077073,0.8521931586852137,0.6978172894628079,0.5047206213741815,0.01,0.22598482919068205
74,0.057876752430276276,0.010064715727291864,0.04,0.0078120367029844125,-0.049581691693740576,-0.04386330831694826,0.6373677069487194,0.9057461869976297,0.24504428017108443,0.8195195531910358,0.7155836888682127,0.53390456503663,0.11090019041328567,0.19125708497665275
133,0.05789324783841001,0.009754753467727464,0.04,0.008138494370682542,-0.04024686654283492,-0.034333480038010795,0.6227123223049069,0.6412282476816115,0.1363157106634629,0.98,0.661166581923547,0.7119700975745792,0.05566404324871919,0.29417049750167235
387,0.05817925759284457,0.009952671246036653,0.04,0.008226586346807918,-0.03882517043534961,-0.029822186026912778,0.5809293917625344,0.3374637396109111,0.19036650367075375,0.8680971109890915,0.6882326601262457,0.5330422924820138,0.030252810091907324,0.23860490222680789
136,0.058392518867674464,0.010189566903790642,0.04,0.008202951963883818,-0.042232084604887185,-0.03557899186086277,0.6511273419474933,0.765314381279431,0.20597516018990442,0.98,0.7408722234248533,0.7066832225569434,0.059213843759182296,0.258738064921645
242,0.05841127254422171,0.01019503423933204,0.04,0.008216238304889672,-0.04006543615260727,-0.02977290270457781,0.6355011178676796,0.9957488549403384,0.03,0.977222991305802,0.7944457084165373,0.3282950724162896,0.02795825026695828,0.20418153317726326
426,0.05849853677765995,0.010247711410846684,0.04,0.008250825366813265,-0.04240964472812754,-0.03791024526727519,0.5961441799638574,0.5528796469927315,0.06815474102745467,0.7819001030111336,0.7197955727596049,0.3492187922096306,0.07206713141207344,0.30613545242376716
33,0.05874966521031742,0.01052424508689257,0.04,0.00822542012342485,-0.04536075270484521,-0.0411326920925357,0.6112090021568335,0.6314059617352964,0.1146560805754842,0.9158804204504359,0.7440230163430432,0.5679015472465,0.08828065791358952,0.27805871430978
413,0.0587583722959061,0.010381633985087608,0.04,0.008376738310818489,-0.0397375817757067,-0.03250026114449904,0.6660194331087033,0.9906207434753935,0.051728670634834314,0.9734108356943784,0.7590617285365246,0.3518953893044572,0.041791971425715335,0.2857393499890402
70,0.05877545207424035,0.011030371419752496,0.04,0.007745080654487856,-0.05913455204664042,-0.05605731786381034,0.6816348041219011,1.4298041431350068,0.30264496540197405,0.7918207635033292,0.909349256567956,0.5696991524295845,0.18855760275508157,0.16920677845703352
72,0.05881404865238596,0.010347481571154223,0.04,0.008466567081231736,-0.03657037051437223,-0.027263386404266256,0.6735880451009688,0.8579472411989822,0.1408272786391996,0.8009480954560108,0.7931475901967721,0.5377331569387108,0.01599153707076291,0.2802268004154256
295,0.058834351637803525,0.010673709228454724,0.04,0.008160642409348799,-0.048952551679242715,-0.04899356816187119,0.7356908890202045,1.7859914050240446,0.11243757530831863,0.6720066853311419,0.4693984999419684,0.5442044959200449,0.1352534708656574,0.32729479300964087
164,0.05893776840977516,0.01057317686218607,0.04,0.008364591547589088,-0.04270091597197043,-0.038533570766804776,0.5938664901324588,0.509511935015637,0.0633300371833549,0.8339699782750806,0.8053909479836476,0.19984608968165973,0.07321942256989702,0.31575953607248863
83,0.059112891736175566,0.010844707728448266,0.04,0.008268184007727305,-0.0433002465772475,-0.032313344506426776,0.6346368037116346,0.869130640039204,0.14839745519437478,0.8405571682460489,0.8178815283554036,0.6746027125037505,0.037760673577966496,0.16167301976897158
365,0.05923949995772842,0.01105423139376525,0.04,0.008185268563963169,-0.0515072597368344,-0.05139401367572541,0.6751840497466162,1.2412996240704557,0.07101826341849729,0.9536258229332235,0.6832058316943099,0.7556223775074739,0.1473201404304233,0.29850032942789095
30,0.059255276714383485,0.010998474428832965,0.04,0.008256802285550521,-0.049735853852473096,-0.05132749371084761,0.7408875939360052,1.5883823260416179,0.2229942903483922,0.7567771963239985,0.6095430643080223,0.44070566909880793,0.14690551537179458,0.35362172111331375
248,0.059350699661162395,0.010693834418498959,0.04,0.008656865242663436,-0.035226025836867784,-0.02614157403064558,0.6928083999888868,0.9294046807897591,0.11641594755630316,0.8790219055127059,0.8105527550127232,0.7443084823478024,0.01,0.316767650929154
